Monat,Baugenehmigung: (Weltweit)
2004-01,61
2004-02,62
2004-03,63
2004-04,63
2004-05,62
2004-06,59
2004-07,62
2004-08,64
2004-09,57
2004-10,59
2004-11,52
2004-12,37
2005-01,60
2005-02,66
2005-03,60
2005-04,68
2005-05,62
2005-06,64
2005-07,61
2005-08,60
2005-09,64
2005-10,59
2005-11,56
2005-12,42
2006-01,62
2006-02,65
2006-03,68
2006-04,71
2006-05,68
2006-06,69
2006-07,75
2006-08,74
2006-09,74
2006-10,69
2006-11,64
2006-12,47
2007-01,71
2007-02,73
2007-03,69
2007-04,74
2007-05,76
2007-06,73
2007-07,74
2007-08,66
2007-09,63
2007-10,65
2007-11,67
2007-12,49
2008-01,66
2008-02,65
2008-03,64
2008-04,70
2008-05,62
2008-06,59
2008-07,58
2008-08,54
2008-09,51
2008-10,56
2008-11,50
2008-12,39
2009-01,48
2009-02,52
2009-03,57
2009-04,56
2009-05,51
2009-06,61
2009-07,61
2009-08,62
2009-09,64
2009-10,63
2009-11,67
2009-12,43
2010-01,64
2010-02,72
2010-03,74
2010-04,72
2010-05,73
2010-06,72
2010-07,71
2010-08,64
2010-09,65
2010-10,60
2010-11,57
2010-12,40
2011-01,63
2011-02,65
2011-03,69
2011-04,62
2011-05,65
2011-06,65
2011-07,63
2011-08,59
2011-09,61
2011-10,58
2011-11,52
2011-12,42
2012-01,60
2012-02,58
2012-03,59
2012-04,60
2012-05,60
2012-06,59
2012-07,60
2012-08,57
2012-09,65
2012-10,58
2012-11,56
2012-12,37
2013-01,55
2013-02,60
2013-03,61
2013-04,64
2013-05,60
2013-06,58
2013-07,62
2013-08,63
2013-09,62
2013-10,59
2013-11,57
2013-12,43
2014-01,61
2014-02,66
2014-03,65
2014-04,66
2014-05,64
2014-06,66
2014-07,67
2014-08,59
2014-09,64
2014-10,61
2014-11,54
2014-12,43
2015-01,61
2015-02,68
2015-03,63
2015-04,64
2015-05,64
2015-06,65
2015-07,67
2015-08,61
2015-09,59
2015-10,61
2015-11,57
2015-12,46
2016-01,63
2016-02,67
2016-03,66
2016-04,69
2016-05,67
2016-06,63
2016-07,61
2016-08,62
2016-09,65
2016-10,63
2016-11,5
2016-12,<1
2017-01,0
2017-02,0
2017-03,2
2017-04,69
2017-05,84
2017-06,86
2017-07,81
2017-08,77
2017-09,79
2017-10,86
2017-11,76
2017-12,51
2018-01,77
2018-02,90
2018-03,96
2018-04,99
2018-05,99
2018-06,92
2018-07,93
2018-08,88
2018-09,76
2018-10,68
2018-11,61
2018-12,47
2019-01,74
2019-02,79
2019-03,75
2019-04,71
2019-05,68
2019-06,68
2019-07,65
2019-08,64
2019-09,64
2019-10,63
2019-11,62
2019-12,47
2020-01,68
2020-02,67
2020-03,50
2020-04,53
2020-05,66
2020-06,83
2020-07,86
2020-08,78
2020-09,74
2020-10,71
2020-11,69
2020-12,55
2021-01,74
2021-02,88
2021-03,92
2021-04,88
2021-05,82
2021-06,79
2021-07,73
2021-08,70
2021-09,73
2021-10,68
2021-11,63
2021-12,54
2022-01,71
2022-02,72
2022-03,70
2022-04,66
2022-05,57
2022-06,64
2022-07,59
2022-08,60
2022-09,55
2022-10,56
2022-11,52
2022-12,40
2023-01,58
2023-02,62
2023-03,62
2023-04,58
2023-05,61
2023-06,60
2023-07,61
2023-08,60
2023-09,84
2023-10,82
2023-11,79
2023-12,65
2024-01,86
2024-02,99
2024-03,98
2024-04,98
2024-05,100
2024-06,88
2024-07,99
2024-08,100
