Monat,Biesse: (Weltweit)
2004-01,30
2004-02,25
2004-03,22
2004-04,21
2004-05,20
2004-06,20
2004-07,24
2004-08,18
2004-09,28
2004-10,19
2004-11,20
2004-12,19
2005-01,22
2005-02,25
2005-03,27
2005-04,23
2005-05,28
2005-06,19
2005-07,20
2005-08,20
2005-09,26
2005-10,19
2005-11,21
2005-12,19
2006-01,25
2006-02,25
2006-03,27
2006-04,22
2006-05,27
2006-06,24
2006-07,23
2006-08,21
2006-09,23
2006-10,25
2006-11,26
2006-12,22
2007-01,22
2007-02,28
2007-03,23
2007-04,72
2007-05,100
2007-06,55
2007-07,46
2007-08,30
2007-09,28
2007-10,47
2007-11,44
2007-12,28
2008-01,32
2008-02,34
2008-03,26
2008-04,27
2008-05,25
2008-06,25
2008-07,24
2008-08,21
2008-09,26
2008-10,26
2008-11,23
2008-12,23
2009-01,24
2009-02,27
2009-03,25
2009-04,24
2009-05,22
2009-06,22
2009-07,19
2009-08,18
2009-09,27
2009-10,23
2009-11,23
2009-12,19
2010-01,23
2010-02,25
2010-03,22
2010-04,21
2010-05,22
2010-06,21
2010-07,20
2010-08,16
2010-09,20
2010-10,22
2010-11,19
2010-12,18
2011-01,20
2011-02,21
2011-03,20
2011-04,20
2011-05,20
2011-06,18
2011-07,18
2011-08,16
2011-09,19
2011-10,19
2011-11,19
2011-12,16
2012-01,18
2012-02,20
2012-03,19
2012-04,17
2012-05,16
2012-06,16
2012-07,15
2012-08,15
2012-09,17
2012-10,19
2012-11,16
2012-12,14
2013-01,18
2013-02,19
2013-03,16
2013-04,17
2013-05,17
2013-06,16
2013-07,15
2013-08,13
2013-09,16
2013-10,19
2013-11,17
2013-12,14
2014-01,17
2014-02,18
2014-03,16
2014-04,16
2014-05,17
2014-06,18
2014-07,17
2014-08,15
2014-09,17
2014-10,19
2014-11,17
2014-12,15
2015-01,18
2015-02,21
2015-03,20
2015-04,20
2015-05,19
2015-06,18
2015-07,19
2015-08,15
2015-09,18
2015-10,21
2015-11,20
2015-12,17
2016-01,18
2016-02,22
2016-03,20
2016-04,20
2016-05,20
2016-06,20
2016-07,17
2016-08,16
2016-09,20
2016-10,19
2016-11,19
2016-12,16
2017-01,15
2017-02,18
2017-03,21
2017-04,19
2017-05,19
2017-06,19
2017-07,16
2017-08,13
2017-09,18
2017-10,20
2017-11,20
2017-12,16
2018-01,20
2018-02,20
2018-03,22
2018-04,19
2018-05,20
2018-06,19
2018-07,19
2018-08,14
2018-09,16
2018-10,17
2018-11,16
2018-12,12
2019-01,16
2019-02,16
2019-03,16
2019-04,18
2019-05,21
2019-06,22
2019-07,23
2019-08,18
2019-09,20
2019-10,21
2019-11,21
2019-12,18
2020-01,24
2020-02,22
2020-03,19
2020-04,16
2020-05,16
2020-06,28
2020-07,23
2020-08,20
2020-09,20
2020-10,21
2020-11,20
2020-12,16
2021-01,17
2021-02,21
2021-03,21
2021-04,19
2021-05,20
2021-06,19
2021-07,20
2021-08,18
2021-09,20
2021-10,22
2021-11,20
2021-12,16
2022-01,19
2022-02,22
2022-03,25
2022-04,22
2022-05,21
2022-06,20
2022-07,19
2022-08,17
2022-09,20
2022-10,19
2022-11,20
2022-12,16
2023-01,20
2023-02,22
2023-03,27
2023-04,19
2023-05,20
2023-06,21
2023-07,21
2023-08,19
2023-09,20
2023-10,22
2023-11,22
2023-12,19
2024-01,22
2024-02,21
2024-03,19
2024-04,17
2024-05,19
2024-06,17
2024-07,18
2024-08,16
