Monat,Fertighaus: (Weltweit)
2004-01,95
2004-02,100
2004-03,95
2004-04,94
2004-05,90
2004-06,93
2004-07,98
2004-08,99
2004-09,97
2004-10,91
2004-11,77
2004-12,65
2005-01,94
2005-02,100
2005-03,89
2005-04,95
2005-05,87
2005-06,79
2005-07,85
2005-08,90
2005-09,80
2005-10,72
2005-11,75
2005-12,60
2006-01,72
2006-02,75
2006-03,81
2006-04,65
2006-05,66
2006-06,62
2006-07,65
2006-08,81
2006-09,66
2006-10,72
2006-11,55
2006-12,42
2007-01,67
2007-02,65
2007-03,65
2007-04,62
2007-05,61
2007-06,61
2007-07,66
2007-08,65
2007-09,60
2007-10,58
2007-11,49
2007-12,38
2008-01,58
2008-02,63
2008-03,64
2008-04,54
2008-05,52
2008-06,52
2008-07,53
2008-08,52
2008-09,49
2008-10,46
2008-11,43
2008-12,36
2009-01,52
2009-02,51
2009-03,52
2009-04,57
2009-05,50
2009-06,50
2009-07,53
2009-08,53
2009-09,52
2009-10,49
2009-11,47
2009-12,38
2010-01,51
2010-02,56
2010-03,58
2010-04,52
2010-05,52
2010-06,46
2010-07,45
2010-08,47
2010-09,46
2010-10,42
2010-11,41
2010-12,31
2011-01,45
2011-02,44
2011-03,45
2011-04,42
2011-05,41
2011-06,40
2011-07,38
2011-08,40
2011-09,38
2011-10,36
2011-11,36
2011-12,31
2012-01,41
2012-02,38
2012-03,40
2012-04,40
2012-05,35
2012-06,39
2012-07,39
2012-08,37
2012-09,38
2012-10,34
2012-11,32
2012-12,26
2013-01,35
2013-02,35
2013-03,37
2013-04,35
2013-05,34
2013-06,31
2013-07,33
2013-08,33
2013-09,34
2013-10,31
2013-11,31
2013-12,23
2014-01,36
2014-02,36
2014-03,33
2014-04,33
2014-05,34
2014-06,32
2014-07,33
2014-08,33
2014-09,33
2014-10,31
2014-11,30
2014-12,25
2015-01,34
2015-02,33
2015-03,35
2015-04,35
2015-05,31
2015-06,29
2015-07,31
2015-08,32
2015-09,32
2015-10,31
2015-11,29
2015-12,27
2016-01,33
2016-02,36
2016-03,33
2016-04,35
2016-05,32
2016-06,30
2016-07,32
2016-08,34
2016-09,34
2016-10,31
2016-11,25
2016-12,19
2017-01,28
2017-02,28
2017-03,25
2017-04,26
2017-05,24
2017-06,24
2017-07,25
2017-08,26
2017-09,26
2017-10,25
2017-11,22
2017-12,21
2018-01,26
2018-02,25
2018-03,24
2018-04,24
2018-05,23
2018-06,22
2018-07,23
2018-08,24
2018-09,24
2018-10,22
2018-11,21
2018-12,18
2019-01,24
2019-02,24
2019-03,23
2019-04,24
2019-05,22
2019-06,23
2019-07,23
2019-08,25
2019-09,23
2019-10,22
2019-11,21
2019-12,19
2020-01,25
2020-02,24
2020-03,22
2020-04,27
2020-05,31
2020-06,31
2020-07,27
2020-08,27
2020-09,28
2020-10,31
2020-11,30
2020-12,30
2021-01,35
2021-02,37
2021-03,34
2021-04,38
2021-05,39
2021-06,27
2021-07,28
2021-08,31
2021-09,35
2021-10,29
2021-11,27
2021-12,24
2022-01,32
2022-02,29
2022-03,25
2022-04,25
2022-05,28
2022-06,23
2022-07,23
2022-08,22
2022-09,20
2022-10,21
2022-11,21
2022-12,19
2023-01,26
2023-02,25
2023-03,22
2023-04,22
2023-05,21
2023-06,21
2023-07,22
2023-08,23
2023-09,22
2023-10,21
2023-11,20
2023-12,18
2024-01,23
2024-02,22
2024-03,23
2024-04,23
2024-05,23
2024-06,22
2024-07,23
2024-08,24
