Monat,Holzhaus: (Weltweit)
2004-01,87
2004-02,84
2004-03,97
2004-04,87
2004-05,86
2004-06,85
2004-07,86
2004-08,94
2004-09,93
2004-10,87
2004-11,81
2004-12,69
2005-01,89
2005-02,92
2005-03,90
2005-04,98
2005-05,89
2005-06,91
2005-07,93
2005-08,100
2005-09,90
2005-10,85
2005-11,78
2005-12,60
2006-01,89
2006-02,84
2006-03,88
2006-04,89
2006-05,81
2006-06,73
2006-07,82
2006-08,98
2006-09,85
2006-10,81
2006-11,70
2006-12,62
2007-01,87
2007-02,84
2007-03,91
2007-04,92
2007-05,90
2007-06,79
2007-07,86
2007-08,84
2007-09,70
2007-10,70
2007-11,65
2007-12,56
2008-01,76
2008-02,76
2008-03,78
2008-04,70
2008-05,70
2008-06,63
2008-07,73
2008-08,70
2008-09,64
2008-10,55
2008-11,55
2008-12,51
2009-01,65
2009-02,63
2009-03,67
2009-04,59
2009-05,64
2009-06,61
2009-07,61
2009-08,69
2009-09,61
2009-10,57
2009-11,46
2009-12,50
2010-01,60
2010-02,63
2010-03,63
2010-04,59
2010-05,60
2010-06,56
2010-07,53
2010-08,57
2010-09,53
2010-10,47
2010-11,46
2010-12,39
2011-01,52
2011-02,52
2011-03,52
2011-04,50
2011-05,50
2011-06,46
2011-07,45
2011-08,49
2011-09,43
2011-10,45
2011-11,46
2011-12,39
2012-01,51
2012-02,50
2012-03,50
2012-04,44
2012-05,45
2012-06,44
2012-07,45
2012-08,48
2012-09,47
2012-10,42
2012-11,42
2012-12,34
2013-01,44
2013-02,47
2013-03,50
2013-04,46
2013-05,48
2013-06,44
2013-07,45
2013-08,49
2013-09,44
2013-10,46
2013-11,45
2013-12,38
2014-01,51
2014-02,50
2014-03,53
2014-04,52
2014-05,50
2014-06,48
2014-07,50
2014-08,54
2014-09,52
2014-10,49
2014-11,48
2014-12,42
2015-01,59
2015-02,56
2015-03,56
2015-04,55
2015-05,53
2015-06,47
2015-07,51
2015-08,56
2015-09,50
2015-10,47
2015-11,46
2015-12,45
2016-01,57
2016-02,58
2016-03,58
2016-04,55
2016-05,56
2016-06,49
2016-07,52
2016-08,50
2016-09,51
2016-10,50
2016-11,26
2016-12,21
2017-01,24
2017-02,24
2017-03,25
2017-04,25
2017-05,23
2017-06,22
2017-07,24
2017-08,24
2017-09,22
2017-10,26
2017-11,22
2017-12,19
2018-01,27
2018-02,27
2018-03,28
2018-04,30
2018-05,28
2018-06,25
2018-07,28
2018-08,27
2018-09,24
2018-10,25
2018-11,23
2018-12,21
2019-01,29
2019-02,36
2019-03,38
2019-04,38
2019-05,35
2019-06,37
2019-07,42
2019-08,56
2019-09,45
2019-10,42
2019-11,51
2019-12,53
2020-01,68
2020-02,62
2020-03,56
2020-04,73
2020-05,81
2020-06,73
2020-07,68
2020-08,69
2020-09,62
2020-10,60
2020-11,65
2020-12,58
2021-01,78
2021-02,73
2021-03,71
2021-04,74
2021-05,71
2021-06,59
2021-07,62
2021-08,61
2021-09,55
2021-10,55
2021-11,51
2021-12,44
2022-01,59
2022-02,52
2022-03,49
2022-04,48
2022-05,48
2022-06,47
2022-07,51
2022-08,47
2022-09,44
2022-10,45
2022-11,41
2022-12,39
2023-01,46
2023-02,44
2023-03,44
2023-04,48
2023-05,45
2023-06,44
2023-07,47
2023-08,47
2023-09,45
2023-10,44
2023-11,46
2023-12,44
2024-01,47
2024-02,45
2024-03,46
2024-04,55
2024-05,54
2024-06,50
2024-07,55
2024-08,61
