Monat,IKEA: (Weltweit)
2004-01,30
2004-02,26
2004-03,26
2004-04,25
2004-05,25
2004-06,27
2004-07,32
2004-08,37
2004-09,36
2004-10,34
2004-11,35
2004-12,32
2005-01,38
2005-02,35
2005-03,33
2005-04,32
2005-05,32
2005-06,34
2005-07,42
2005-08,52
2005-09,45
2005-10,43
2005-11,42
2005-12,41
2006-01,48
2006-02,42
2006-03,43
2006-04,40
2006-05,43
2006-06,41
2006-07,48
2006-08,62
2006-09,60
2006-10,56
2006-11,52
2006-12,52
2007-01,58
2007-02,54
2007-03,50
2007-04,48
2007-05,50
2007-06,48
2007-07,58
2007-08,65
2007-09,61
2007-10,55
2007-11,56
2007-12,53
2008-01,58
2008-02,53
2008-03,53
2008-04,50
2008-05,46
2008-06,47
2008-07,54
2008-08,61
2008-09,70
2008-10,52
2008-11,58
2008-12,53
2009-01,58
2009-02,55
2009-03,53
2009-04,45
2009-05,51
2009-06,48
2009-07,55
2009-08,65
2009-09,64
2009-10,56
2009-11,58
2009-12,54
2010-01,61
2010-02,55
2010-03,49
2010-04,48
2010-05,51
2010-06,48
2010-07,52
2010-08,64
2010-09,64
2010-10,59
2010-11,57
2010-12,53
2011-01,64
2011-02,55
2011-03,52
2011-04,52
2011-05,51
2011-06,54
2011-07,60
2011-08,66
2011-09,60
2011-10,59
2011-11,58
2011-12,55
2012-01,60
2012-02,55
2012-03,57
2012-04,54
2012-05,47
2012-06,50
2012-07,55
2012-08,58
2012-09,60
2012-10,53
2012-11,58
2012-12,55
2013-01,58
2013-02,54
2013-03,55
2013-04,49
2013-05,49
2013-06,47
2013-07,49
2013-08,59
2013-09,56
2013-10,53
2013-11,57
2013-12,55
2014-01,58
2014-02,53
2014-03,51
2014-04,49
2014-05,49
2014-06,47
2014-07,53
2014-08,62
2014-09,58
2014-10,54
2014-11,57
2014-12,55
2015-01,59
2015-02,53
2015-03,53
2015-04,52
2015-05,53
2015-06,48
2015-07,54
2015-08,61
2015-09,57
2015-10,60
2015-11,59
2015-12,57
2016-01,56
2016-02,50
2016-03,47
2016-04,49
2016-05,48
2016-06,46
2016-07,52
2016-08,55
2016-09,53
2016-10,53
2016-11,64
2016-12,58
2017-01,68
2017-02,64
2017-03,61
2017-04,61
2017-05,58
2017-06,57
2017-07,71
2017-08,72
2017-09,75
2017-10,73
2017-11,74
2017-12,70
2018-01,77
2018-02,74
2018-03,69
2018-04,65
2018-05,61
2018-06,61
2018-07,67
2018-08,77
2018-09,70
2018-10,70
2018-11,75
2018-12,73
2019-01,74
2019-02,63
2019-03,68
2019-04,66
2019-05,64
2019-06,63
2019-07,69
2019-08,80
2019-09,73
2019-10,73
2019-11,84
2019-12,74
2020-01,83
2020-02,73
2020-03,61
2020-04,71
2020-05,100
2020-06,89
2020-07,84
2020-08,87
2020-09,83
2020-10,83
2020-11,84
2020-12,77
2021-01,80
2021-02,75
2021-03,71
2021-04,66
2021-05,66
2021-06,58
2021-07,62
2021-08,65
2021-09,56
2021-10,55
2021-11,59
2021-12,55
2022-01,68
2022-02,56
2022-03,55
2022-04,54
2022-05,50
2022-06,48
2022-07,54
2022-08,57
2022-09,49
2022-10,49
2022-11,53
2022-12,46
2023-01,50
2023-02,40
2023-03,30
2023-04,29
2023-05,29
2023-06,26
2023-07,31
2023-08,33
2023-09,31
2023-10,30
2023-11,31
2023-12,27
2024-01,28
2024-02,27
2024-03,24
2024-04,20
2024-05,18
2024-06,20
2024-07,24
2024-08,24
