Monat,Künstliche Intelligenz: (Weltweit)
2004-01,8
2004-02,8
2004-03,8
2004-04,8
2004-05,8
2004-06,8
2004-07,8
2004-08,8
2004-09,8
2004-10,8
2004-11,9
2004-12,9
2005-01,8
2005-02,8
2005-03,7
2005-04,8
2005-05,8
2005-06,7
2005-07,7
2005-08,7
2005-09,7
2005-10,8
2005-11,7
2005-12,8
2006-01,7
2006-02,7
2006-03,8
2006-04,7
2006-05,7
2006-06,7
2006-07,7
2006-08,7
2006-09,8
2006-10,7
2006-11,7
2006-12,7
2007-01,7
2007-02,7
2007-03,7
2007-04,7
2007-05,7
2007-06,7
2007-07,7
2007-08,7
2007-09,7
2007-10,8
2007-11,8
2007-12,7
2008-01,8
2008-02,8
2008-03,8
2008-04,8
2008-05,7
2008-06,8
2008-07,7
2008-08,8
2008-09,8
2008-10,9
2008-11,8
2008-12,8
2009-01,8
2009-02,9
2009-03,8
2009-04,8
2009-05,9
2009-06,9
2009-07,9
2009-08,9
2009-09,9
2009-10,9
2009-11,9
2009-12,9
2010-01,9
2010-02,9
2010-03,9
2010-04,9
2010-05,10
2010-06,9
2010-07,8
2010-08,10
2010-09,9
2010-10,10
2010-11,10
2010-12,9
2011-01,9
2011-02,9
2011-03,9
2011-04,10
2011-05,9
2011-06,10
2011-07,9
2011-08,10
2011-09,9
2011-10,11
2011-11,10
2011-12,11
2012-01,10
2012-02,10
2012-03,11
2012-04,10
2012-05,10
2012-06,9
2012-07,9
2012-08,9
2012-09,9
2012-10,10
2012-11,9
2012-12,9
2013-01,9
2013-02,9
2013-03,9
2013-04,9
2013-05,9
2013-06,8
2013-07,8
2013-08,8
2013-09,9
2013-10,9
2013-11,9
2013-12,9
2014-01,9
2014-02,9
2014-03,9
2014-04,9
2014-05,9
2014-06,8
2014-07,9
2014-08,8
2014-09,10
2014-10,9
2014-11,10
2014-12,9
2015-01,10
2015-02,9
2015-03,9
2015-04,9
2015-05,11
2015-06,9
2015-07,9
2015-08,9
2015-09,9
2015-10,9
2015-11,9
2015-12,9
2016-01,9
2016-02,9
2016-03,10
2016-04,10
2016-05,10
2016-06,9
2016-07,9
2016-08,9
2016-09,11
2016-10,10
2016-11,4
2016-12,4
2017-01,3
2017-02,3
2017-03,4
2017-04,4
2017-05,4
2017-06,4
2017-07,4
2017-08,5
2017-09,5
2017-10,5
2017-11,6
2017-12,6
2018-01,6
2018-02,7
2018-03,9
2018-04,8
2018-05,9
2018-06,8
2018-07,8
2018-08,8
2018-09,8
2018-10,9
2018-11,11
2018-12,10
2019-01,11
2019-02,11
2019-03,10
2019-04,10
2019-05,10
2019-06,12
2019-07,11
2019-08,10
2019-09,10
2019-10,10
2019-11,10
2019-12,9
2020-01,10
2020-02,10
2020-03,10
2020-04,10
2020-05,11
2020-06,10
2020-07,9
2020-08,9
2020-09,9
2020-10,9
2020-11,9
2020-12,10
2021-01,9
2021-02,10
2021-03,10
2021-04,10
2021-05,10
2021-06,10
2021-07,10
2021-08,10
2021-09,10
2021-10,12
2021-11,12
2021-12,13
2022-01,13
2022-02,13
2022-03,15
2022-04,16
2022-05,14
2022-06,17
2022-07,16
2022-08,17
2022-09,21
2022-10,21
2022-11,21
2022-12,34
2023-01,34
2023-02,44
2023-03,49
2023-04,63
2023-05,72
2023-06,75
2023-07,75
2023-08,70
2023-09,70
2023-10,84
2023-11,86
2023-12,81
2024-01,89
2024-02,92
2024-03,96
2024-04,96
2024-05,100
2024-06,96
2024-07,92
2024-08,97
