Monat,Küche: (Weltweit)
2004-01,45
2004-02,42
2004-03,43
2004-04,38
2004-05,39
2004-06,38
2004-07,41
2004-08,42
2004-09,40
2004-10,43
2004-11,42
2004-12,41
2005-01,45
2005-02,45
2005-03,43
2005-04,42
2005-05,39
2005-06,37
2005-07,42
2005-08,43
2005-09,41
2005-10,43
2005-11,44
2005-12,40
2006-01,48
2006-02,45
2006-03,44
2006-04,39
2006-05,36
2006-06,37
2006-07,40
2006-08,44
2006-09,42
2006-10,43
2006-11,42
2006-12,38
2007-01,45
2007-02,45
2007-03,42
2007-04,38
2007-05,40
2007-06,38
2007-07,43
2007-08,44
2007-09,44
2007-10,42
2007-11,46
2007-12,44
2008-01,50
2008-02,48
2008-03,46
2008-04,46
2008-05,41
2008-06,42
2008-07,43
2008-08,45
2008-09,47
2008-10,47
2008-11,47
2008-12,44
2009-01,46
2009-02,51
2009-03,47
2009-04,51
2009-05,52
2009-06,53
2009-07,56
2009-08,60
2009-09,57
2009-10,57
2009-11,60
2009-12,54
2010-01,61
2010-02,62
2010-03,60
2010-04,58
2010-05,59
2010-06,55
2010-07,57
2010-08,58
2010-09,57
2010-10,59
2010-11,57
2010-12,56
2011-01,61
2011-02,60
2011-03,56
2011-04,54
2011-05,54
2011-06,56
2011-07,59
2011-08,58
2011-09,56
2011-10,61
2011-11,62
2011-12,64
2012-01,61
2012-02,58
2012-03,55
2012-04,57
2012-05,54
2012-06,56
2012-07,56
2012-08,55
2012-09,57
2012-10,58
2012-11,54
2012-12,50
2013-01,60
2013-02,59
2013-03,57
2013-04,53
2013-05,56
2013-06,55
2013-07,56
2013-08,56
2013-09,55
2013-10,59
2013-11,56
2013-12,51
2014-01,60
2014-02,62
2014-03,59
2014-04,56
2014-05,55
2014-06,52
2014-07,59
2014-08,60
2014-09,58
2014-10,61
2014-11,64
2014-12,58
2015-01,61
2015-02,63
2015-03,61
2015-04,61
2015-05,58
2015-06,57
2015-07,62
2015-08,64
2015-09,62
2015-10,63
2015-11,66
2015-12,59
2016-01,69
2016-02,69
2016-03,66
2016-04,63
2016-05,66
2016-06,60
2016-07,65
2016-08,67
2016-09,66
2016-10,69
2016-11,75
2016-12,71
2017-01,84
2017-02,94
2017-03,91
2017-04,87
2017-05,82
2017-06,84
2017-07,92
2017-08,89
2017-09,88
2017-10,92
2017-11,87
2017-12,90
2018-01,91
2018-02,86
2018-03,78
2018-04,73
2018-05,72
2018-06,74
2018-07,72
2018-08,76
2018-09,72
2018-10,76
2018-11,81
2018-12,77
2019-01,86
2019-02,84
2019-03,81
2019-04,75
2019-05,74
2019-06,74
2019-07,77
2019-08,81
2019-09,81
2019-10,79
2019-11,85
2019-12,82
2020-01,86
2020-02,85
2020-03,72
2020-04,83
2020-05,99
2020-06,100
2020-07,99
2020-08,95
2020-09,94
2020-10,95
2020-11,96
2020-12,89
2021-01,98
2021-02,97
2021-03,94
2021-04,88
2021-05,85
2021-06,80
2021-07,79
2021-08,81
2021-09,76
2021-10,85
2021-11,85
2021-12,81
2022-01,86
2022-02,89
2022-03,78
2022-04,79
2022-05,69
2022-06,71
2022-07,75
2022-08,74
2022-09,75
2022-10,77
2022-11,76
2022-12,71
2023-01,79
2023-02,77
2023-03,79
2023-04,73
2023-05,74
2023-06,72
2023-07,73
2023-08,75
2023-09,80
2023-10,78
2023-11,81
2023-12,77
2024-01,80
2024-02,80
2024-03,75
2024-04,71
2024-05,71
2024-06,67
2024-07,69
2024-08,68
