Monat,Möbel: (Weltweit)
2004-01,100
2004-02,93
2004-03,91
2004-04,90
2004-05,86
2004-06,87
2004-07,96
2004-08,97
2004-09,88
2004-10,87
2004-11,89
2004-12,77
2005-01,97
2005-02,93
2005-03,88
2005-04,87
2005-05,85
2005-06,83
2005-07,89
2005-08,94
2005-09,85
2005-10,85
2005-11,87
2005-12,72
2006-01,93
2006-02,85
2006-03,87
2006-04,79
2006-05,75
2006-06,76
2006-07,82
2006-08,90
2006-09,82
2006-10,84
2006-11,80
2006-12,69
2007-01,88
2007-02,83
2007-03,85
2007-04,77
2007-05,76
2007-06,73
2007-07,87
2007-08,82
2007-09,77
2007-10,76
2007-11,75
2007-12,65
2008-01,85
2008-02,76
2008-03,75
2008-04,68
2008-05,67
2008-06,67
2008-07,73
2008-08,72
2008-09,70
2008-10,64
2008-11,67
2008-12,58
2009-01,74
2009-02,70
2009-03,67
2009-04,63
2009-05,70
2009-06,65
2009-07,66
2009-08,72
2009-09,66
2009-10,66
2009-11,69
2009-12,60
2010-01,71
2010-02,70
2010-03,69
2010-04,61
2010-05,65
2010-06,60
2010-07,63
2010-08,64
2010-09,60
2010-10,58
2010-11,64
2010-12,52
2011-01,67
2011-02,61
2011-03,60
2011-04,57
2011-05,56
2011-06,54
2011-07,58
2011-08,61
2011-09,57
2011-10,55
2011-11,56
2011-12,50
2012-01,64
2012-02,56
2012-03,58
2012-04,55
2012-05,52
2012-06,52
2012-07,52
2012-08,55
2012-09,55
2012-10,54
2012-11,54
2012-12,46
2013-01,57
2013-02,56
2013-03,55
2013-04,54
2013-05,53
2013-06,52
2013-07,56
2013-08,59
2013-09,54
2013-10,53
2013-11,55
2013-12,49
2014-01,59
2014-02,56
2014-03,55
2014-04,52
2014-05,54
2014-06,52
2014-07,55
2014-08,59
2014-09,53
2014-10,53
2014-11,54
2014-12,48
2015-01,59
2015-02,57
2015-03,59
2015-04,55
2015-05,54
2015-06,51
2015-07,54
2015-08,56
2015-09,56
2015-10,52
2015-11,59
2015-12,49
2016-01,61
2016-02,58
2016-03,56
2016-04,57
2016-05,57
2016-06,52
2016-07,54
2016-08,56
2016-09,55
2016-10,59
2016-11,56
2016-12,47
2017-01,59
2017-02,67
2017-03,64
2017-04,60
2017-05,64
2017-06,59
2017-07,65
2017-08,64
2017-09,62
2017-10,69
2017-11,67
2017-12,58
2018-01,66
2018-02,66
2018-03,59
2018-04,59
2018-05,57
2018-06,57
2018-07,59
2018-08,57
2018-09,59
2018-10,57
2018-11,58
2018-12,52
2019-01,58
2019-02,58
2019-03,60
2019-04,54
2019-05,55
2019-06,55
2019-07,61
2019-08,58
2019-09,54
2019-10,55
2019-11,57
2019-12,49
2020-01,58
2020-02,56
2020-03,46
2020-04,56
2020-05,73
2020-06,70
2020-07,71
2020-08,67
2020-09,66
2020-10,66
2020-11,63
2020-12,59
2021-01,65
2021-02,62
2021-03,67
2021-04,66
2021-05,61
2021-06,57
2021-07,51
2021-08,59
2021-09,54
2021-10,56
2021-11,57
2021-12,45
2022-01,56
2022-02,52
2022-03,51
2022-04,50
2022-05,44
2022-06,44
2022-07,48
2022-08,44
2022-09,45
2022-10,47
2022-11,46
2022-12,41
2023-01,48
2023-02,45
2023-03,50
2023-04,48
2023-05,48
2023-06,48
2023-07,49
2023-08,51
2023-09,50
2023-10,48
2023-11,52
2023-12,43
2024-01,47
2024-02,48
2024-03,48
2024-04,45
2024-05,43
2024-06,41
2024-07,45
2024-08,47
