Monat,Prädiktive Instandhaltung: (Weltweit)
2004-01,59
2004-02,58
2004-03,70
2004-04,82
2004-05,67
2004-06,63
2004-07,70
2004-08,65
2004-09,86
2004-10,61
2004-11,78
2004-12,49
2005-01,61
2005-02,85
2005-03,59
2005-04,66
2005-05,60
2005-06,61
2005-07,53
2005-08,51
2005-09,68
2005-10,56
2005-11,69
2005-12,61
2006-01,43
2006-02,58
2006-03,55
2006-04,41
2006-05,47
2006-06,44
2006-07,42
2006-08,50
2006-09,54
2006-10,49
2006-11,52
2006-12,28
2007-01,33
2007-02,39
2007-03,40
2007-04,45
2007-05,47
2007-06,43
2007-07,40
2007-08,41
2007-09,42
2007-10,36
2007-11,46
2007-12,28
2008-01,34
2008-02,43
2008-03,37
2008-04,43
2008-05,45
2008-06,41
2008-07,32
2008-08,31
2008-09,37
2008-10,36
2008-11,39
2008-12,24
2009-01,33
2009-02,41
2009-03,39
2009-04,32
2009-05,38
2009-06,39
2009-07,31
2009-08,30
2009-09,39
2009-10,41
2009-11,46
2009-12,29
2010-01,28
2010-02,43
2010-03,37
2010-04,34
2010-05,39
2010-06,37
2010-07,27
2010-08,35
2010-09,35
2010-10,37
2010-11,36
2010-12,22
2011-01,28
2011-02,32
2011-03,37
2011-04,32
2011-05,34
2011-06,36
2011-07,24
2011-08,30
2011-09,34
2011-10,31
2011-11,32
2011-12,20
2012-01,24
2012-02,34
2012-03,31
2012-04,31
2012-05,30
2012-06,31
2012-07,25
2012-08,34
2012-09,31
2012-10,33
2012-11,31
2012-12,20
2013-01,22
2013-02,26
2013-03,26
2013-04,27
2013-05,34
2013-06,33
2013-07,25
2013-08,28
2013-09,31
2013-10,36
2013-11,29
2013-12,22
2014-01,22
2014-02,28
2014-03,31
2014-04,28
2014-05,34
2014-06,32
2014-07,27
2014-08,30
2014-09,35
2014-10,35
2014-11,33
2014-12,23
2015-01,26
2015-02,31
2015-03,32
2015-04,32
2015-05,36
2015-06,33
2015-07,32
2015-08,30
2015-09,35
2015-10,38
2015-11,35
2015-12,26
2016-01,26
2016-02,36
2016-03,37
2016-04,36
2016-05,40
2016-06,41
2016-07,31
2016-08,34
2016-09,37
2016-10,40
2016-11,47
2016-12,32
2017-01,39
2017-02,50
2017-03,58
2017-04,47
2017-05,59
2017-06,59
2017-07,47
2017-08,58
2017-09,60
2017-10,60
2017-11,64
2017-12,46
2018-01,50
2018-02,66
2018-03,66
2018-04,68
2018-05,75
2018-06,62
2018-07,56
2018-08,62
2018-09,63
2018-10,66
2018-11,67
2018-12,50
2019-01,55
2019-02,69
2019-03,68
2019-04,65
2019-05,72
2019-06,67
2019-07,66
2019-08,64
2019-09,70
2019-10,75
2019-11,74
2019-12,56
2020-01,65
2020-02,75
2020-03,65
2020-04,65
2020-05,82
2020-06,85
2020-07,75
2020-08,69
2020-09,83
2020-10,75
2020-11,74
2020-12,64
2021-01,62
2021-02,70
2021-03,81
2021-04,80
2021-05,73
2021-06,77
2021-07,72
2021-08,62
2021-09,72
2021-10,74
2021-11,75
2021-12,64
2022-01,68
2022-02,76
2022-03,94
2022-04,77
2022-05,84
2022-06,72
2022-07,69
2022-08,65
2022-09,76
2022-10,68
2022-11,79
2022-12,64
2023-01,72
2023-02,83
2023-03,78
2023-04,71
2023-05,84
2023-06,84
2023-07,76
2023-08,86
2023-09,84
2023-10,86
2023-11,75
2023-12,65
2024-01,74
2024-02,96
2024-03,92
2024-04,100
2024-05,97
2024-06,81
2024-07,80
2024-08,82
