Monat,Robotik: (Weltweit)
2004-01,91
2004-02,94
2004-03,100
2004-04,86
2004-05,82
2004-06,75
2004-07,68
2004-08,73
2004-09,85
2004-10,86
2004-11,78
2004-12,64
2005-01,67
2005-02,72
2005-03,75
2005-04,71
2005-05,68
2005-06,58
2005-07,54
2005-08,55
2005-09,71
2005-10,72
2005-11,66
2005-12,52
2006-01,59
2006-02,59
2006-03,69
2006-04,55
2006-05,54
2006-06,49
2006-07,39
2006-08,44
2006-09,60
2006-10,55
2006-11,52
2006-12,44
2007-01,51
2007-02,48
2007-03,51
2007-04,49
2007-05,46
2007-06,42
2007-07,39
2007-08,42
2007-09,52
2007-10,50
2007-11,48
2007-12,38
2008-01,43
2008-02,43
2008-03,44
2008-04,44
2008-05,42
2008-06,40
2008-07,34
2008-08,38
2008-09,46
2008-10,44
2008-11,43
2008-12,34
2009-01,37
2009-02,40
2009-03,44
2009-04,39
2009-05,37
2009-06,34
2009-07,32
2009-08,36
2009-09,42
2009-10,44
2009-11,41
2009-12,33
2010-01,37
2010-02,40
2010-03,43
2010-04,39
2010-05,36
2010-06,32
2010-07,27
2010-08,33
2010-09,36
2010-10,37
2010-11,37
2010-12,28
2011-01,34
2011-02,36
2011-03,39
2011-04,36
2011-05,33
2011-06,31
2011-07,28
2011-08,32
2011-09,36
2011-10,36
2011-11,36
2011-12,29
2012-01,35
2012-02,35
2012-03,38
2012-04,34
2012-05,32
2012-06,34
2012-07,32
2012-08,31
2012-09,40
2012-10,44
2012-11,38
2012-12,32
2013-01,37
2013-02,38
2013-03,40
2013-04,36
2013-05,32
2013-06,29
2013-07,28
2013-08,29
2013-09,35
2013-10,35
2013-11,32
2013-12,31
2014-01,35
2014-02,37
2014-03,37
2014-04,36
2014-05,33
2014-06,29
2014-07,28
2014-08,31
2014-09,37
2014-10,36
2014-11,36
2014-12,33
2015-01,36
2015-02,38
2015-03,40
2015-04,39
2015-05,35
2015-06,37
2015-07,32
2015-08,35
2015-09,42
2015-10,40
2015-11,42
2015-12,35
2016-01,36
2016-02,38
2016-03,41
2016-04,41
2016-05,36
2016-06,34
2016-07,30
2016-08,32
2016-09,43
2016-10,38
2016-11,40
2016-12,34
2017-01,42
2017-02,43
2017-03,48
2017-04,45
2017-05,46
2017-06,43
2017-07,43
2017-08,41
2017-09,48
2017-10,48
2017-11,48
2017-12,39
2018-01,44
2018-02,49
2018-03,56
2018-04,60
2018-05,58
2018-06,50
2018-07,50
2018-08,51
2018-09,57
2018-10,52
2018-11,69
2018-12,58
2019-01,58
2019-02,59
2019-03,62
2019-04,67
2019-05,68
2019-06,66
2019-07,65
2019-08,62
2019-09,68
2019-10,67
2019-11,78
2019-12,69
2020-01,68
2020-02,64
2020-03,53
2020-04,36
2020-05,41
2020-06,41
2020-07,39
2020-08,39
2020-09,42
2020-10,39
2020-11,35
2020-12,36
2021-01,36
2021-02,41
2021-03,39
2021-04,39
2021-05,42
2021-06,41
2021-07,37
2021-08,37
2021-09,45
2021-10,44
2021-11,42
2021-12,38
2022-01,43
2022-02,48
2022-03,56
2022-04,57
2022-05,54
2022-06,53
2022-07,38
2022-08,41
2022-09,46
2022-10,47
2022-11,49
2022-12,43
2023-01,49
2023-02,50
2023-03,53
2023-04,48
2023-05,55
2023-06,53
2023-07,47
2023-08,48
2023-09,54
2023-10,60
2023-11,54
2023-12,47
2024-01,52
2024-02,58
2024-03,59
2024-04,63
2024-05,57
2024-06,53
2024-07,50
2024-08,55
