TIME_PERIOD,GT Automatisierung,GT Baugenehmigung,GT Biesse,GT Dürr AG,GT Fertighaus,GT Holzbau,GT Holzhaus,GT HOMAG Group,GT IKEA,GT Internet der Dinge,GT Künstliche Intelligenz,GT Küche,GT Massivholz,GT Möbel,GT Prädiktive Instandhaltung,GT Robotik,GT SCM Group
2024-12-01,63,99,20,35,35,43,58,42,26,94,100,74,89,42,90,61,23
2024-11-01,65,93,20,37,40,42,64,41,25,94,93,69,100,48,91,57,40
2024-10-01,68,98,21,40,42,41,62,40,24,92,94,70,87,45,98,61,28
2024-09-01,65,96,21,40,49,39,59,38,27,89,81,69,79,44,86,61,21
2024-08-01,60,93,17,35,53,37,63,31,27,80,73,66,73,45,84,54,25
2024-07-01,64,96,19,36,46,43,58,36,25,80,67,66,45,44,82,50,62
2024-06-01,60,89,17,38,42,43,48,35,21,83,70,64,58,42,82,52,100
2024-05-01,64,97,19,38,49,42,53,37,19,93,76,68,44,44,96,57,98
2024-04-01,63,93,17,35,46,41,58,36,22,91,70,68,32,45,90,61,90
2024-03-01,63,90,19,32,47,39,44,42,26,94,71,73,33,45,92,59,84
2024-02-01,69,95,22,42,48,42,45,40,29,93,69,76,31,48,91,54,71
2024-01-01,65,84,22,36,49,43,49,36,32,89,63,79,34,45,78,51,61
2023-12-01,60,62,19,30,36,34,44,30,29,86,62,77,33,43,67,46,59
2023-11-01,66,73,22,38,41,40,44,41,33,91,61,80,40,52,83,53,60
2023-10-01,69,81,22,36,46,39,44,35,33,90,60,75,38,46,80,53,70
2023-09-01,64,75,20,29,48,39,43,34,34,89,51,76,52,49,80,54,65
2023-08-01,64,59,19,27,49,36,48,31,36,88,52,72,71,49,75,48,37
2023-07-01,65,59,21,30,46,37,48,29,33,81,54,70,83,49,78,46,51
2023-06-01,71,58,21,31,46,39,44,29,28,84,55,67,77,49,83,51,50
2023-05-01,80,58,21,33,42,36,46,33,29,89,53,68,99,48,79,55,63
2023-04-01,66,57,19,28,49,35,47,30,31,83,46,70,88,47,74,52,43
2023-03-01,74,60,24,34,44,35,44,34,33,83,36,74,90,48,86,51,50
2023-02-01,63,63,22,31,47,35,44,25,43,88,32,76,46,45,81,47,47
2023-01-01,66,55,20,33,46,35,45,24,54,81,23,77,50,48,74,47,47
2022-12-01,61,40,17,29,33,29,39,23,50,81,25,69,39,40,66,39,47
2022-11-01,67,51,20,30,36,32,42,27,56,90,16,75,44,45,80,47,48
2022-10-01,68,53,20,35,38,32,45,30,57,87,15,73,40,48,74,46,65
2022-09-01,71,53,20,36,41,34,46,33,54,85,14,72,34,45,77,45,54
2022-08-01,65,57,17,32,45,31,49,28,59,77,13,71,30,47,72,39,28
2022-07-01,64,59,19,37,45,35,49,27,59,77,12,71,29,47,71,37,50
2022-06-01,65,61,21,38,43,38,47,30,52,89,12,69,29,44,76,50,57
2022-05-01,58,55,23,33,43,35,48,30,54,90,10,67,27,44,83,53,63
2022-04-01,59,62,21,37,50,32,49,25,58,91,12,73,38,49,85,55,52
2022-03-01,59,66,24,38,51,36,53,31,58,100,11,77,41,52,89,54,48
2022-02-01,62,72,22,39,57,39,53,30,61,91,10,84,52,52,78,47,63
2022-01-01,59,69,20,35,58,38,60,33,72,82,10,84,55,56,69,43,59
