Monat,Automatisierung: (Weltweit)
2004-01,93
2004-02,98
2004-03,100
2004-04,97
2004-05,92
2004-06,97
2004-07,94
2004-08,93
2004-09,93
2004-10,89
2004-11,86
2004-12,81
2005-01,82
2005-02,83
2005-03,85
2005-04,82
2005-05,80
2005-06,85
2005-07,74
2005-08,75
2005-09,79
2005-10,73
2005-11,74
2005-12,68
2006-01,66
2006-02,69
2006-03,72
2006-04,65
2006-05,67
2006-06,62
2006-07,61
2006-08,63
2006-09,67
2006-10,61
2006-11,60
2006-12,52
2007-01,57
2007-02,58
2007-03,62
2007-04,57
2007-05,58
2007-06,61
2007-07,56
2007-08,56
2007-09,54
2007-10,57
2007-11,54
2007-12,48
2008-01,51
2008-02,55
2008-03,53
2008-04,53
2008-05,52
2008-06,55
2008-07,52
2008-08,47
2008-09,56
2008-10,51
2008-11,54
2008-12,50
2009-01,45
2009-02,51
2009-03,51
2009-04,47
2009-05,49
2009-06,51
2009-07,48
2009-08,47
2009-09,51
2009-10,47
2009-11,48
2009-12,45
2010-01,50
2010-02,58
2010-03,50
2010-04,50
2010-05,53
2010-06,59
2010-07,46
2010-08,45
2010-09,48
2010-10,43
2010-11,42
2010-12,45
2011-01,55
2011-02,53
2011-03,43
2011-04,54
2011-05,46
2011-06,56
2011-07,42
2011-08,42
2011-09,52
2011-10,41
2011-11,47
2011-12,43
2012-01,51
2012-02,47
2012-03,43
2012-04,46
2012-05,47
2012-06,55
2012-07,41
2012-08,39
2012-09,48
2012-10,41
2012-11,45
2012-12,41
2013-01,55
2013-02,49
2013-03,39
2013-04,48
2013-05,47
2013-06,55
2013-07,41
2013-08,37
2013-09,45
2013-10,39
2013-11,48
2013-12,44
2014-01,61
2014-02,51
2014-03,42
2014-04,49
2014-05,47
2014-06,54
2014-07,41
2014-08,37
2014-09,48
2014-10,42
2014-11,52
2014-12,49
2015-01,69
2015-02,50
2015-03,41
2015-04,55
2015-05,51
2015-06,64
2015-07,40
2015-08,41
2015-09,48
2015-10,41
2015-11,51
2015-12,51
2016-01,72
2016-02,54
2016-03,39
2016-04,57
2016-05,57
2016-06,66
2016-07,36
2016-08,38
2016-09,47
2016-10,43
2016-11,47
2016-12,43
2017-01,64
2017-02,53
2017-03,50
2017-04,57
2017-05,59
2017-06,61
2017-07,44
2017-08,45
2017-09,53
2017-10,47
2017-11,57
2017-12,51
2018-01,61
2018-02,47
2018-03,44
2018-04,51
2018-05,52
2018-06,45
2018-07,43
2018-08,42
2018-09,44
2018-10,46
2018-11,49
2018-12,44
2019-01,54
2019-02,51
2019-03,46
2019-04,52
2019-05,50
2019-06,56
2019-07,49
2019-08,46
2019-09,56
2019-10,53
2019-11,58
2019-12,53
2020-01,62
2020-02,55
2020-03,47
2020-04,45
2020-05,47
2020-06,51
2020-07,52
2020-08,46
2020-09,54
2020-10,49
2020-11,42
2020-12,44
2021-01,46
2021-02,47
2021-03,43
2021-04,45
2021-05,50
2021-06,53
2021-07,46
2021-08,45
2021-09,50
2021-10,50
2021-11,49
2021-12,47
2022-01,59
2022-02,62
2022-03,59
2022-04,59
2022-05,58
2022-06,65
2022-07,64
2022-08,65
2022-09,71
2022-10,68
2022-11,67
2022-12,61
2023-01,66
2023-02,63
2023-03,74
2023-04,66
2023-05,80
2023-06,71
2023-07,65
2023-08,64
2023-09,64
2023-10,69
2023-11,66
2023-12,60
2024-01,65
2024-02,69
2024-03,63
2024-04,63
2024-05,64
2024-06,60
2024-07,64
2024-08,60
2024-09,65
2024-10,68
2024-11,65
2024-12,63
