Monat,Baugenehmigung: (Weltweit)
2004-01,60
2004-02,60
2004-03,63
2004-04,61
2004-05,60
2004-06,57
2004-07,58
2004-08,63
2004-09,54
2004-10,56
2004-11,51
2004-12,36
2005-01,58
2005-02,64
2005-03,58
2005-04,66
2005-05,59
2005-06,63
2005-07,59
2005-08,59
2005-09,62
2005-10,58
2005-11,54
2005-12,40
2006-01,61
2006-02,63
2006-03,65
2006-04,69
2006-05,66
2006-06,67
2006-07,73
2006-08,72
2006-09,72
2006-10,67
2006-11,61
2006-12,45
2007-01,67
2007-02,71
2007-03,68
2007-04,72
2007-05,76
2007-06,73
2007-07,74
2007-08,61
2007-09,66
2007-10,66
2007-11,59
2007-12,54
2008-01,62
2008-02,66
2008-03,62
2008-04,68
2008-05,62
2008-06,56
2008-07,58
2008-08,58
2008-09,53
2008-10,53
2008-11,41
2008-12,35
2009-01,46
2009-02,50
2009-03,51
2009-04,53
2009-05,51
2009-06,57
2009-07,58
2009-08,61
2009-09,62
2009-10,62
2009-11,63
2009-12,43
2010-01,60
2010-02,71
2010-03,76
2010-04,70
2010-05,69
2010-06,70
2010-07,71
2010-08,62
2010-09,62
2010-10,58
2010-11,56
2010-12,40
2011-01,61
2011-02,62
2011-03,64
2011-04,59
2011-05,63
2011-06,64
2011-07,64
2011-08,58
2011-09,60
2011-10,55
2011-11,53
2011-12,36
2012-01,57
2012-02,55
2012-03,57
2012-04,56
2012-05,58
2012-06,55
2012-07,58
2012-08,54
2012-09,63
2012-10,58
2012-11,52
2012-12,38
2013-01,53
2013-02,60
2013-03,56
2013-04,63
2013-05,58
2013-06,56
2013-07,61
2013-08,60
2013-09,61
2013-10,57
2013-11,54
2013-12,42
2014-01,64
2014-02,64
2014-03,67
2014-04,63
2014-05,60
2014-06,63
2014-07,64
2014-08,57
2014-09,61
2014-10,61
2014-11,53
2014-12,43
2015-01,59
2015-02,61
2015-03,63
2015-04,62
2015-05,60
2015-06,62
2015-07,64
2015-08,57
2015-09,58
2015-10,58
2015-11,55
2015-12,45
2016-01,60
2016-02,65
2016-03,64
2016-04,64
2016-05,62
2016-06,61
2016-07,58
2016-08,61
2016-09,63
2016-10,62
2016-11,5
2016-12,<1
2017-01,0
2017-02,0
2017-03,2
2017-04,66
2017-05,82
2017-06,86
2017-07,78
2017-08,75
2017-09,79
2017-10,84
2017-11,72
2017-12,46
2018-01,74
2018-02,86
2018-03,95
2018-04,100
2018-05,91
2018-06,88
2018-07,91
2018-08,86
2018-09,74
2018-10,64
2018-11,57
2018-12,46
2019-01,70
2019-02,77
2019-03,70
2019-04,66
2019-05,66
2019-06,65
2019-07,64
2019-08,63
2019-09,63
2019-10,61
2019-11,58
2019-12,46
2020-01,65
2020-02,63
2020-03,48
2020-04,49
2020-05,68
2020-06,80
2020-07,81
2020-08,70
2020-09,71
2020-10,68
2020-11,66
2020-12,53
2021-01,73
2021-02,85
2021-03,92
2021-04,86
2021-05,80
2021-06,75
2021-07,71
2021-08,69
2021-09,71
2021-10,65
2021-11,61
2021-12,50
2022-01,69
2022-02,72
2022-03,66
2022-04,62
2022-05,55
2022-06,61
2022-07,59
2022-08,57
2022-09,53
2022-10,53
2022-11,51
2022-12,40
2023-01,55
2023-02,63
2023-03,60
2023-04,57
2023-05,58
2023-06,58
2023-07,59
2023-08,59
2023-09,75
2023-10,81
2023-11,73
2023-12,62
2024-01,84
2024-02,95
2024-03,90
2024-04,93
2024-05,97
2024-06,89
2024-07,96
2024-08,93
2024-09,96
2024-10,98
2024-11,93
2024-12,99
