Monat,Fertighaus: (Weltweit)
2004-01,92
2004-02,89
2004-03,79
2004-04,91
2004-05,86
2004-06,78
2004-07,93
2004-08,95
2004-09,86
2004-10,84
2004-11,78
2004-12,61
2005-01,89
2005-02,90
2005-03,88
2005-04,100
2005-05,91
2005-06,76
2005-07,81
2005-08,98
2005-09,89
2005-10,85
2005-11,84
2005-12,60
2006-01,84
2006-02,84
2006-03,81
2006-04,80
2006-05,72
2006-06,70
2006-07,80
2006-08,88
2006-09,71
2006-10,71
2006-11,65
2006-12,53
2007-01,67
2007-02,71
2007-03,69
2007-04,68
2007-05,62
2007-06,58
2007-07,64
2007-08,75
2007-09,63
2007-10,60
2007-11,51
2007-12,46
2008-01,63
2008-02,65
2008-03,69
2008-04,55
2008-05,55
2008-06,52
2008-07,55
2008-08,58
2008-09,55
2008-10,51
2008-11,45
2008-12,38
2009-01,57
2009-02,58
2009-03,59
2009-04,63
2009-05,62
2009-06,58
2009-07,65
2009-08,78
2009-09,66
2009-10,58
2009-11,56
2009-12,44
2010-01,65
2010-02,65
2010-03,77
2010-04,73
2010-05,67
2010-06,57
2010-07,59
2010-08,67
2010-09,60
2010-10,54
2010-11,53
2010-12,42
2011-01,57
2011-02,57
2011-03,54
2011-04,53
2011-05,53
2011-06,48
2011-07,50
2011-08,57
2011-09,52
2011-10,52
2011-11,49
2011-12,44
2012-01,56
2012-02,55
2012-03,56
2012-04,51
2012-05,46
2012-06,47
2012-07,51
2012-08,54
2012-09,52
2012-10,48
2012-11,45
2012-12,37
2013-01,49
2013-02,49
2013-03,53
2013-04,48
2013-05,46
2013-06,44
2013-07,48
2013-08,52
2013-09,47
2013-10,47
2013-11,45
2013-12,37
2014-01,51
2014-02,51
2014-03,48
2014-04,49
2014-05,49
2014-06,45
2014-07,52
2014-08,54
2014-09,48
2014-10,47
2014-11,43
2014-12,38
2015-01,53
2015-02,52
2015-03,50
2015-04,54
2015-05,50
2015-06,45
2015-07,54
2015-08,56
2015-09,52
2015-10,51
2015-11,46
2015-12,43
2016-01,56
2016-02,54
2016-03,53
2016-04,54
2016-05,52
2016-06,47
2016-07,50
2016-08,54
2016-09,52
2016-10,51
2016-11,36
2016-12,32
2017-01,50
2017-02,53
2017-03,49
2017-04,49
2017-05,48
2017-06,49
2017-07,49
2017-08,53
2017-09,49
2017-10,49
2017-11,45
2017-12,39
2018-01,52
2018-02,48
2018-03,50
2018-04,53
2018-05,57
2018-06,58
2018-07,62
2018-08,60
2018-09,52
2018-10,46
2018-11,39
2018-12,36
2019-01,45
2019-02,45
2019-03,45
2019-04,41
2019-05,43
2019-06,42
2019-07,49
2019-08,51
2019-09,45
2019-10,43
2019-11,41
2019-12,40
2020-01,52
2020-02,50
2020-03,40
2020-04,51
2020-05,66
2020-06,70
2020-07,74
2020-08,75
2020-09,64
2020-10,66
2020-11,59
2020-12,53
2021-01,71
2021-02,76
2021-03,87
2021-04,77
2021-05,77
2021-06,58
2021-07,61
2021-08,62
2021-09,47
2021-10,47
2021-11,45
2021-12,40
2022-01,58
2022-02,57
2022-03,51
2022-04,50
2022-05,43
2022-06,43
2022-07,45
2022-08,45
2022-09,41
2022-10,38
2022-11,36
2022-12,33
2023-01,46
2023-02,47
2023-03,44
2023-04,49
2023-05,42
2023-06,46
2023-07,46
2023-08,49
2023-09,48
2023-10,46
2023-11,41
2023-12,36
2024-01,49
2024-02,48
2024-03,47
2024-04,46
2024-05,49
2024-06,42
2024-07,46
2024-08,53
2024-09,49
2024-10,42
2024-11,40
2024-12,35
