Monat,Holzbau: (Weltweit)
2004-01,100
2004-02,95
2004-03,90
2004-04,78
2004-05,80
2004-06,84
2004-07,81
2004-08,78
2004-09,77
2004-10,82
2004-11,84
2004-12,67
2005-01,83
2005-02,78
2005-03,80
2005-04,83
2005-05,72
2005-06,84
2005-07,69
2005-08,72
2005-09,67
2005-10,67
2005-11,74
2005-12,64
2006-01,79
2006-02,74
2006-03,76
2006-04,66
2006-05,70
2006-06,63
2006-07,65
2006-08,68
2006-09,68
2006-10,66
2006-11,62
2006-12,55
2007-01,61
2007-02,63
2007-03,68
2007-04,60
2007-05,63
2007-06,65
2007-07,67
2007-08,59
2007-09,58
2007-10,63
2007-11,58
2007-12,50
2008-01,63
2008-02,66
2008-03,64
2008-04,63
2008-05,60
2008-06,59
2008-07,57
2008-08,55
2008-09,59
2008-10,54
2008-11,52
2008-12,48
2009-01,51
2009-02,60
2009-03,58
2009-04,53
2009-05,53
2009-06,55
2009-07,54
2009-08,55
2009-09,51
2009-10,56
2009-11,52
2009-12,39
2010-01,50
2010-02,54
2010-03,54
2010-04,52
2010-05,51
2010-06,49
2010-07,50
2010-08,46
2010-09,43
2010-10,45
2010-11,45
2010-12,38
2011-01,46
2011-02,50
2011-03,49
2011-04,42
2011-05,46
2011-06,44
2011-07,44
2011-08,41
2011-09,42
2011-10,40
2011-11,40
2011-12,35
2012-01,45
2012-02,47
2012-03,48
2012-04,44
2012-05,43
2012-06,44
2012-07,43
2012-08,40
2012-09,41
2012-10,41
2012-11,40
2012-12,33
2013-01,41
2013-02,44
2013-03,43
2013-04,46
2013-05,42
2013-06,42
2013-07,42
2013-08,41
2013-09,42
2013-10,43
2013-11,42
2013-12,34
2014-01,43
2014-02,44
2014-03,42
2014-04,41
2014-05,40
2014-06,40
2014-07,41
2014-08,38
2014-09,42
2014-10,42
2014-11,40
2014-12,35
2015-01,41
2015-02,43
2015-03,42
2015-04,42
2015-05,41
2015-06,42
2015-07,41
2015-08,38
2015-09,41
2015-10,39
2015-11,39
2015-12,34
2016-01,41
2016-02,44
2016-03,42
2016-04,45
2016-05,43
2016-06,43
2016-07,39
2016-08,35
2016-09,39
2016-10,39
2016-11,35
2016-12,30
2017-01,36
2017-02,37
2017-03,36
2017-04,35
2017-05,38
2017-06,38
2017-07,38
2017-08,33
2017-09,38
2017-10,39
2017-11,40
2017-12,35
2018-01,38
2018-02,40
2018-03,40
2018-04,40
2018-05,40
2018-06,41
2018-07,38
2018-08,38
2018-09,38
2018-10,38
2018-11,36
2018-12,33
2019-01,37
2019-02,39
2019-03,39
2019-04,40
2019-05,38
2019-06,38
2019-07,39
2019-08,35
2019-09,36
2019-10,38
2019-11,38
2019-12,36
2020-01,41
2020-02,39
2020-03,32
2020-04,35
2020-05,41
2020-06,40
2020-07,39
2020-08,34
2020-09,37
2020-10,36
2020-11,38
2020-12,34
2021-01,40
2021-02,42
2021-03,41
2021-04,40
2021-05,39
2021-06,36
2021-07,34
2021-08,32
2021-09,37
2021-10,36
2021-11,39
2021-12,33
2022-01,38
2022-02,39
2022-03,36
2022-04,32
2022-05,35
2022-06,38
2022-07,35
2022-08,31
2022-09,34
2022-10,32
2022-11,32
2022-12,29
2023-01,35
2023-02,35
2023-03,35
2023-04,35
2023-05,36
2023-06,39
2023-07,37
2023-08,36
2023-09,39
2023-10,39
2023-11,40
2023-12,34
2024-01,43
2024-02,42
2024-03,39
2024-04,41
2024-05,42
2024-06,43
2024-07,43
2024-08,37
2024-09,39
2024-10,41
2024-11,42
2024-12,43
