Monat,Holzhaus: (Weltweit)
2004-01,88
2004-02,84
2004-03,95
2004-04,88
2004-05,87
2004-06,85
2004-07,87
2004-08,96
2004-09,94
2004-10,86
2004-11,83
2004-12,70
2005-01,89
2005-02,93
2005-03,91
2005-04,99
2005-05,89
2005-06,92
2005-07,93
2005-08,100
2005-09,91
2005-10,86
2005-11,78
2005-12,61
2006-01,92
2006-02,84
2006-03,89
2006-04,88
2006-05,83
2006-06,74
2006-07,83
2006-08,99
2006-09,87
2006-10,84
2006-11,71
2006-12,63
2007-01,89
2007-02,86
2007-03,91
2007-04,92
2007-05,91
2007-06,80
2007-07,86
2007-08,85
2007-09,72
2007-10,71
2007-11,65
2007-12,56
2008-01,76
2008-02,83
2008-03,75
2008-04,70
2008-05,68
2008-06,62
2008-07,76
2008-08,74
2008-09,66
2008-10,56
2008-11,56
2008-12,52
2009-01,63
2009-02,69
2009-03,67
2009-04,60
2009-05,62
2009-06,66
2009-07,64
2009-08,68
2009-09,59
2009-10,61
2009-11,53
2009-12,49
2010-01,59
2010-02,61
2010-03,63
2010-04,62
2010-05,62
2010-06,59
2010-07,54
2010-08,59
2010-09,51
2010-10,47
2010-11,49
2010-12,44
2011-01,51
2011-02,53
2011-03,53
2011-04,48
2011-05,50
2011-06,49
2011-07,48
2011-08,48
2011-09,45
2011-10,46
2011-11,45
2011-12,40
2012-01,52
2012-02,51
2012-03,52
2012-04,47
2012-05,48
2012-06,45
2012-07,49
2012-08,50
2012-09,45
2012-10,41
2012-11,42
2012-12,36
2013-01,45
2013-02,46
2013-03,49
2013-04,49
2013-05,49
2013-06,44
2013-07,44
2013-08,49
2013-09,44
2013-10,46
2013-11,43
2013-12,39
2014-01,53
2014-02,49
2014-03,52
2014-04,52
2014-05,50
2014-06,47
2014-07,50
2014-08,55
2014-09,51
2014-10,48
2014-11,48
2014-12,43
2015-01,54
2015-02,56
2015-03,57
2015-04,55
2015-05,55
2015-06,50
2015-07,52
2015-08,54
2015-09,50
2015-10,48
2015-11,48
2015-12,43
2016-01,58
2016-02,60
2016-03,58
2016-04,54
2016-05,54
2016-06,49
2016-07,51
2016-08,52
2016-09,51
2016-10,49
2016-11,25
2016-12,22
2017-01,25
2017-02,26
2017-03,25
2017-04,26
2017-05,23
2017-06,23
2017-07,24
2017-08,26
2017-09,22
2017-10,25
2017-11,23
2017-12,19
2018-01,27
2018-02,29
2018-03,30
2018-04,31
2018-05,28
2018-06,26
2018-07,29
2018-08,27
2018-09,27
2018-10,24
2018-11,24
2018-12,20
2019-01,27
2019-02,35
2019-03,38
2019-04,38
2019-05,34
2019-06,38
2019-07,44
2019-08,58
2019-09,45
2019-10,42
2019-11,54
2019-12,54
2020-01,64
2020-02,64
2020-03,58
2020-04,73
2020-05,81
2020-06,74
2020-07,66
2020-08,70
2020-09,64
2020-10,63
2020-11,64
2020-12,59
2021-01,79
2021-02,75
2021-03,72
2021-04,77
2021-05,71
2021-06,58
2021-07,59
2021-08,62
2021-09,56
2021-10,56
2021-11,54
2021-12,47
2022-01,60
2022-02,53
2022-03,53
2022-04,49
2022-05,48
2022-06,47
2022-07,49
2022-08,49
2022-09,46
2022-10,45
2022-11,42
2022-12,39
2023-01,45
2023-02,44
2023-03,44
2023-04,47
2023-05,46
2023-06,44
2023-07,48
2023-08,48
2023-09,43
2023-10,44
2023-11,44
2023-12,44
2024-01,49
2024-02,45
2024-03,44
2024-04,58
2024-05,53
2024-06,48
2024-07,58
2024-08,63
2024-09,59
2024-10,62
2024-11,64
2024-12,58
