Monat,HOMAG Group: (Weltweit)
2004-01,50
2004-02,57
2004-03,53
2004-04,47
2004-05,39
2004-06,39
2004-07,0
2004-08,37
2004-09,51
2004-10,58
2004-11,43
2004-12,34
2005-01,45
2005-02,71
2005-03,27
2005-04,54
2005-05,49
2005-06,40
2005-07,43
2005-08,39
2005-09,49
2005-10,44
2005-11,58
2005-12,41
2006-01,41
2006-02,45
2006-03,56
2006-04,52
2006-05,40
2006-06,46
2006-07,50
2006-08,42
2006-09,58
2006-10,54
2006-11,55
2006-12,40
2007-01,48
2007-02,53
2007-03,50
2007-04,40
2007-05,50
2007-06,51
2007-07,100
2007-08,49
2007-09,52
2007-10,46
2007-11,60
2007-12,59
2008-01,66
2008-02,56
2008-03,47
2008-04,63
2008-05,43
2008-06,52
2008-07,41
2008-08,42
2008-09,55
2008-10,47
2008-11,43
2008-12,34
2009-01,40
2009-02,45
2009-03,44
2009-04,36
2009-05,38
2009-06,34
2009-07,33
2009-08,35
2009-09,41
2009-10,33
2009-11,30
2009-12,28
2010-01,33
2010-02,34
2010-03,35
2010-04,33
2010-05,34
2010-06,27
2010-07,35
2010-08,36
2010-09,39
2010-10,38
2010-11,38
2010-12,31
2011-01,31
2011-02,34
2011-03,37
2011-04,28
2011-05,34
2011-06,35
2011-07,33
2011-08,34
2011-09,34
2011-10,29
2011-11,26
2011-12,25
2012-01,28
2012-02,28
2012-03,31
2012-04,27
2012-05,30
2012-06,24
2012-07,28
2012-08,23
2012-09,29
2012-10,26
2012-11,28
2012-12,22
2013-01,23
2013-02,24
2013-03,24
2013-04,24
2013-05,24
2013-06,20
2013-07,23
2013-08,19
2013-09,22
2013-10,25
2013-11,24
2013-12,18
2014-01,23
2014-02,24
2014-03,24
2014-04,24
2014-05,21
2014-06,23
2014-07,41
2014-08,27
2014-09,27
2014-10,29
2014-11,26
2014-12,21
2015-01,25
2015-02,24
2015-03,29
2015-04,23
2015-05,25
2015-06,25
2015-07,23
2015-08,20
2015-09,22
2015-10,23
2015-11,22
2015-12,18
2016-01,17
2016-02,20
2016-03,21
2016-04,18
2016-05,15
2016-06,19
2016-07,18
2016-08,16
2016-09,20
2016-10,16
2016-11,30
2016-12,29
2017-01,31
2017-02,38
2017-03,42
2017-04,34
2017-05,48
2017-06,48
2017-07,45
2017-08,39
2017-09,42
2017-10,41
2017-11,50
2017-12,37
2018-01,44
2018-02,48
2018-03,51
2018-04,45
2018-05,44
2018-06,45
2018-07,46
2018-08,43
2018-09,44
2018-10,44
2018-11,42
2018-12,36
2019-01,40
2019-02,47
2019-03,42
2019-04,39
2019-05,44
2019-06,38
2019-07,35
2019-08,34
2019-09,36
2019-10,42
2019-11,46
2019-12,33
2020-01,39
2020-02,42
2020-03,34
2020-04,27
2020-05,29
2020-06,35
2020-07,35
2020-08,31
2020-09,37
2020-10,38
2020-11,37
2020-12,31
2021-01,36
2021-02,33
2021-03,32
2021-04,33
2021-05,32
2021-06,32
2021-07,31
2021-08,28
2021-09,33
2021-10,31
2021-11,31
2021-12,26
2022-01,33
2022-02,30
2022-03,31
2022-04,25
2022-05,30
2022-06,30
2022-07,27
2022-08,28
2022-09,33
2022-10,30
2022-11,27
2022-12,23
2023-01,24
2023-02,25
2023-03,34
2023-04,30
2023-05,33
2023-06,29
2023-07,29
2023-08,31
2023-09,34
2023-10,35
2023-11,41
2023-12,30
2024-01,36
2024-02,40
2024-03,42
2024-04,36
2024-05,37
2024-06,35
2024-07,36
2024-08,31
2024-09,38
2024-10,40
2024-11,41
2024-12,42
