Monat,Küche: (Weltweit)
2004-01,44
2004-02,42
2004-03,42
2004-04,39
2004-05,37
2004-06,38
2004-07,40
2004-08,40
2004-09,39
2004-10,42
2004-11,42
2004-12,39
2005-01,44
2005-02,43
2005-03,41
2005-04,40
2005-05,38
2005-06,37
2005-07,40
2005-08,42
2005-09,38
2005-10,40
2005-11,42
2005-12,38
2006-01,45
2006-02,44
2006-03,41
2006-04,37
2006-05,37
2006-06,36
2006-07,38
2006-08,42
2006-09,41
2006-10,42
2006-11,41
2006-12,37
2007-01,42
2007-02,44
2007-03,40
2007-04,40
2007-05,39
2007-06,37
2007-07,42
2007-08,43
2007-09,43
2007-10,41
2007-11,43
2007-12,41
2008-01,48
2008-02,44
2008-03,45
2008-04,44
2008-05,40
2008-06,41
2008-07,41
2008-08,44
2008-09,46
2008-10,43
2008-11,44
2008-12,42
2009-01,47
2009-02,48
2009-03,47
2009-04,49
2009-05,50
2009-06,52
2009-07,57
2009-08,57
2009-09,53
2009-10,56
2009-11,58
2009-12,54
2010-01,59
2010-02,60
2010-03,57
2010-04,58
2010-05,59
2010-06,55
2010-07,54
2010-08,58
2010-09,54
2010-10,53
2010-11,55
2010-12,52
2011-01,58
2011-02,59
2011-03,54
2011-04,51
2011-05,51
2011-06,52
2011-07,53
2011-08,57
2011-09,54
2011-10,61
2011-11,62
2011-12,63
2012-01,59
2012-02,55
2012-03,53
2012-04,55
2012-05,51
2012-06,53
2012-07,56
2012-08,54
2012-09,57
2012-10,55
2012-11,53
2012-12,51
2013-01,57
2013-02,55
2013-03,54
2013-04,53
2013-05,52
2013-06,53
2013-07,54
2013-08,53
2013-09,54
2013-10,58
2013-11,55
2013-12,50
2014-01,57
2014-02,62
2014-03,56
2014-04,54
2014-05,52
2014-06,54
2014-07,56
2014-08,54
2014-09,56
2014-10,58
2014-11,62
2014-12,55
2015-01,62
2015-02,60
2015-03,61
2015-04,58
2015-05,54
2015-06,56
2015-07,59
2015-08,60
2015-09,58
2015-10,61
2015-11,62
2015-12,58
2016-01,66
2016-02,66
2016-03,63
2016-04,61
2016-05,62
2016-06,59
2016-07,64
2016-08,63
2016-09,63
2016-10,68
2016-11,73
2016-12,69
2017-01,82
2017-02,89
2017-03,90
2017-04,85
2017-05,81
2017-06,82
2017-07,90
2017-08,86
2017-09,85
2017-10,88
2017-11,88
2017-12,85
2018-01,88
2018-02,84
2018-03,74
2018-04,73
2018-05,70
2018-06,72
2018-07,70
2018-08,72
2018-09,70
2018-10,73
2018-11,78
2018-12,77
2019-01,80
2019-02,80
2019-03,74
2019-04,72
2019-05,72
2019-06,71
2019-07,74
2019-08,82
2019-09,78
2019-10,77
2019-11,79
2019-12,76
2020-01,82
2020-02,82
2020-03,69
2020-04,84
2020-05,96
2020-06,98
2020-07,100
2020-08,94
2020-09,92
2020-10,92
2020-11,94
2020-12,87
2021-01,95
2021-02,94
2021-03,91
2021-04,86
2021-05,82
2021-06,77
2021-07,78
2021-08,79
2021-09,76
2021-10,79
2021-11,80
2021-12,79
2022-01,84
2022-02,84
2022-03,77
2022-04,73
2022-05,67
2022-06,69
2022-07,71
2022-08,71
2022-09,72
2022-10,73
2022-11,75
2022-12,69
2023-01,77
2023-02,76
2023-03,74
2023-04,70
2023-05,68
2023-06,67
2023-07,70
2023-08,72
2023-09,76
2023-10,75
2023-11,80
2023-12,77
2024-01,79
2024-02,76
2024-03,73
2024-04,68
2024-05,68
2024-06,64
2024-07,66
2024-08,66
2024-09,69
2024-10,70
2024-11,69
2024-12,74
