Monat,Massivholz: (Weltweit)
2004-01,23
2004-02,23
2004-03,15
2004-04,12
2004-05,16
2004-06,18
2004-07,17
2004-08,22
2004-09,17
2004-10,19
2004-11,17
2004-12,17
2005-01,16
2005-02,17
2005-03,18
2005-04,20
2005-05,14
2005-06,18
2005-07,16
2005-08,19
2005-09,17
2005-10,16
2005-11,19
2005-12,16
2006-01,24
2006-02,19
2006-03,19
2006-04,15
2006-05,15
2006-06,13
2006-07,16
2006-08,18
2006-09,21
2006-10,19
2006-11,19
2006-12,20
2007-01,22
2007-02,17
2007-03,19
2007-04,15
2007-05,16
2007-06,17
2007-07,16
2007-08,17
2007-09,19
2007-10,17
2007-11,19
2007-12,15
2008-01,22
2008-02,19
2008-03,20
2008-04,18
2008-05,14
2008-06,16
2008-07,16
2008-08,15
2008-09,17
2008-10,16
2008-11,17
2008-12,15
2009-01,20
2009-02,21
2009-03,20
2009-04,16
2009-05,17
2009-06,19
2009-07,24
2009-08,20
2009-09,22
2009-10,23
2009-11,26
2009-12,24
2010-01,29
2010-02,25
2010-03,22
2010-04,23
2010-05,21
2010-06,18
2010-07,19
2010-08,17
2010-09,20
2010-10,18
2010-11,19
2010-12,16
2011-01,21
2011-02,20
2011-03,18
2011-04,17
2011-05,17
2011-06,16
2011-07,16
2011-08,15
2011-09,16
2011-10,17
2011-11,19
2011-12,16
2012-01,20
2012-02,21
2012-03,18
2012-04,19
2012-05,18
2012-06,18
2012-07,19
2012-08,17
2012-09,20
2012-10,21
2012-11,20
2012-12,17
2013-01,22
2013-02,22
2013-03,22
2013-04,21
2013-05,20
2013-06,19
2013-07,19
2013-08,18
2013-09,21
2013-10,22
2013-11,22
2013-12,20
2014-01,26
2014-02,24
2014-03,23
2014-04,22
2014-05,21
2014-06,19
2014-07,20
2014-08,22
2014-09,24
2014-10,23
2014-11,25
2014-12,20
2015-01,27
2015-02,25
2015-03,24
2015-04,23
2015-05,22
2015-06,21
2015-07,21
2015-08,23
2015-09,24
2015-10,24
2015-11,24
2015-12,22
2016-01,33
2016-02,31
2016-03,27
2016-04,26
2016-05,25
2016-06,22
2016-07,22
2016-08,23
2016-09,26
2016-10,27
2016-11,74
2016-12,72
2017-01,87
2017-02,74
2017-03,71
2017-04,70
2017-05,79
2017-06,81
2017-07,90
2017-08,88
2017-09,85
2017-10,87
2017-11,91
2017-12,80
2018-01,90
2018-02,93
2018-03,88
2018-04,88
2018-05,85
2018-06,84
2018-07,87
2018-08,83
2018-09,62
2018-10,42
2018-11,37
2018-12,32
2019-01,38
2019-02,33
2019-03,30
2019-04,33
2019-05,31
2019-06,34
2019-07,49
2019-08,46
2019-09,46
2019-10,54
2019-11,63
2019-12,55
2020-01,65
2020-02,60
2020-03,52
2020-04,52
2020-05,60
2020-06,58
2020-07,69
2020-08,66
2020-09,73
2020-10,67
2020-11,63
2020-12,54
2021-01,60
2021-02,55
2021-03,54
2021-04,48
2021-05,50
2021-06,52
2021-07,54
2021-08,52
2021-09,42
2021-10,40
2021-11,40
2021-12,39
2022-01,55
2022-02,52
2022-03,41
2022-04,38
2022-05,27
2022-06,29
2022-07,29
2022-08,30
2022-09,34
2022-10,40
2022-11,44
2022-12,39
2023-01,50
2023-02,46
2023-03,90
2023-04,88
2023-05,99
2023-06,77
2023-07,83
2023-08,71
2023-09,52
2023-10,38
2023-11,40
2023-12,33
2024-01,34
2024-02,31
2024-03,33
2024-04,32
2024-05,44
2024-06,58
2024-07,45
2024-08,73
2024-09,79
2024-10,87
2024-11,100
2024-12,89
