Monat,Möbel: (Weltweit)
2004-01,100
2004-02,95
2004-03,92
2004-04,88
2004-05,86
2004-06,90
2004-07,98
2004-08,98
2004-09,90
2004-10,86
2004-11,88
2004-12,78
2005-01,96
2005-02,93
2005-03,88
2005-04,86
2005-05,83
2005-06,81
2005-07,88
2005-08,93
2005-09,85
2005-10,81
2005-11,86
2005-12,74
2006-01,95
2006-02,86
2006-03,86
2006-04,78
2006-05,76
2006-06,76
2006-07,85
2006-08,91
2006-09,82
2006-10,85
2006-11,80
2006-12,70
2007-01,88
2007-02,83
2007-03,83
2007-04,73
2007-05,75
2007-06,73
2007-07,82
2007-08,81
2007-09,77
2007-10,73
2007-11,73
2007-12,64
2008-01,80
2008-02,79
2008-03,75
2008-04,68
2008-05,66
2008-06,64
2008-07,72
2008-08,71
2008-09,65
2008-10,64
2008-11,68
2008-12,58
2009-01,71
2009-02,71
2009-03,69
2009-04,62
2009-05,66
2009-06,64
2009-07,68
2009-08,74
2009-09,68
2009-10,66
2009-11,68
2009-12,57
2010-01,72
2010-02,68
2010-03,64
2010-04,67
2010-05,65
2010-06,59
2010-07,58
2010-08,63
2010-09,59
2010-10,59
2010-11,60
2010-12,52
2011-01,66
2011-02,59
2011-03,61
2011-04,56
2011-05,57
2011-06,55
2011-07,59
2011-08,63
2011-09,59
2011-10,54
2011-11,56
2011-12,50
2012-01,61
2012-02,58
2012-03,58
2012-04,56
2012-05,53
2012-06,51
2012-07,54
2012-08,55
2012-09,54
2012-10,53
2012-11,54
2012-12,46
2013-01,56
2013-02,57
2013-03,55
2013-04,54
2013-05,52
2013-06,50
2013-07,56
2013-08,54
2013-09,54
2013-10,53
2013-11,56
2013-12,47
2014-01,61
2014-02,56
2014-03,54
2014-04,53
2014-05,54
2014-06,54
2014-07,55
2014-08,57
2014-09,51
2014-10,54
2014-11,54
2014-12,49
2015-01,58
2015-02,59
2015-03,56
2015-04,53
2015-05,53
2015-06,51
2015-07,55
2015-08,58
2015-09,54
2015-10,51
2015-11,56
2015-12,49
2016-01,61
2016-02,59
2016-03,55
2016-04,56
2016-05,56
2016-06,50
2016-07,54
2016-08,56
2016-09,56
2016-10,54
2016-11,53
2016-12,46
2017-01,60
2017-02,68
2017-03,64
2017-04,61
2017-05,61
2017-06,58
2017-07,64
2017-08,64
2017-09,61
2017-10,69
2017-11,67
2017-12,57
2018-01,69
2018-02,68
2018-03,59
2018-04,58
2018-05,60
2018-06,58
2018-07,59
2018-08,59
2018-09,58
2018-10,56
2018-11,56
2018-12,51
2019-01,57
2019-02,58
2019-03,58
2019-04,54
2019-05,56
2019-06,54
2019-07,59
2019-08,57
2019-09,52
2019-10,53
2019-11,58
2019-12,50
2020-01,60
2020-02,56
2020-03,46
2020-04,55
2020-05,70
2020-06,72
2020-07,69
2020-08,68
2020-09,64
2020-10,65
2020-11,63
2020-12,57
2021-01,64
2021-02,62
2021-03,68
2021-04,67
2021-05,62
2021-06,55
2021-07,56
2021-08,57
2021-09,54
2021-10,54
2021-11,55
2021-12,45
2022-01,56
2022-02,52
2022-03,52
2022-04,49
2022-05,44
2022-06,44
2022-07,47
2022-08,47
2022-09,45
2022-10,48
2022-11,45
2022-12,40
2023-01,48
2023-02,45
2023-03,48
2023-04,47
2023-05,48
2023-06,49
2023-07,49
2023-08,49
2023-09,49
2023-10,46
2023-11,52
2023-12,43
2024-01,45
2024-02,48
2024-03,45
2024-04,45
2024-05,44
2024-06,42
2024-07,44
2024-08,45
2024-09,44
2024-10,45
2024-11,48
2024-12,42
