Monat,Prädiktive Instandhaltung: (Weltweit)
2004-01,60
2004-02,57
2004-03,100
2004-04,79
2004-05,72
2004-06,52
2004-07,70
2004-08,65
2004-09,83
2004-10,70
2004-11,85
2004-12,44
2005-01,69
2005-02,86
2005-03,57
2005-04,69
2005-05,64
2005-06,57
2005-07,56
2005-08,59
2005-09,67
2005-10,60
2005-11,76
2005-12,43
2006-01,44
2006-02,59
2006-03,57
2006-04,43
2006-05,50
2006-06,51
2006-07,40
2006-08,54
2006-09,55
2006-10,51
2006-11,48
2006-12,30
2007-01,32
2007-02,44
2007-03,43
2007-04,44
2007-05,48
2007-06,45
2007-07,39
2007-08,40
2007-09,42
2007-10,36
2007-11,46
2007-12,25
2008-01,36
2008-02,43
2008-03,35
2008-04,40
2008-05,49
2008-06,42
2008-07,32
2008-08,30
2008-09,38
2008-10,37
2008-11,39
2008-12,25
2009-01,34
2009-02,42
2009-03,38
2009-04,32
2009-05,39
2009-06,40
2009-07,30
2009-08,32
2009-09,41
2009-10,42
2009-11,45
2009-12,29
2010-01,29
2010-02,44
2010-03,37
2010-04,36
2010-05,39
2010-06,36
2010-07,28
2010-08,36
2010-09,35
2010-10,38
2010-11,36
2010-12,23
2011-01,28
2011-02,33
2011-03,39
2011-04,32
2011-05,36
2011-06,36
2011-07,25
2011-08,31
2011-09,34
2011-10,32
2011-11,34
2011-12,21
2012-01,25
2012-02,35
2012-03,32
2012-04,31
2012-05,31
2012-06,31
2012-07,26
2012-08,36
2012-09,32
2012-10,33
2012-11,32
2012-12,20
2013-01,22
2013-02,27
2013-03,26
2013-04,29
2013-05,35
2013-06,34
2013-07,25
2013-08,28
2013-09,32
2013-10,36
2013-11,29
2013-12,23
2014-01,23
2014-02,28
2014-03,31
2014-04,29
2014-05,34
2014-06,32
2014-07,28
2014-08,31
2014-09,35
2014-10,36
2014-11,35
2014-12,23
2015-01,27
2015-02,32
2015-03,33
2015-04,32
2015-05,36
2015-06,33
2015-07,33
2015-08,31
2015-09,36
2015-10,39
2015-11,36
2015-12,26
2016-01,27
2016-02,37
2016-03,38
2016-04,36
2016-05,41
2016-06,41
2016-07,32
2016-08,35
2016-09,38
2016-10,40
2016-11,49
2016-12,33
2017-01,41
2017-02,51
2017-03,59
2017-04,49
2017-05,60
2017-06,59
2017-07,48
2017-08,60
2017-09,61
2017-10,62
2017-11,65
2017-12,47
2018-01,50
2018-02,66
2018-03,66
2018-04,69
2018-05,76
2018-06,64
2018-07,57
2018-08,64
2018-09,65
2018-10,68
2018-11,69
2018-12,52
2019-01,56
2019-02,71
2019-03,70
2019-04,67
2019-05,73
2019-06,69
2019-07,66
2019-08,65
2019-09,71
2019-10,76
2019-11,75
2019-12,57
2020-01,66
2020-02,77
2020-03,66
2020-04,67
2020-05,79
2020-06,80
2020-07,78
2020-08,68
2020-09,84
2020-10,76
2020-11,76
2020-12,66
2021-01,64
2021-02,72
2021-03,80
2021-04,82
2021-05,76
2021-06,78
2021-07,73
2021-08,61
2021-09,74
2021-10,76
2021-11,77
2021-12,65
2022-01,69
2022-02,78
2022-03,89
2022-04,85
2022-05,83
2022-06,76
2022-07,71
2022-08,72
2022-09,77
2022-10,74
2022-11,80
2022-12,66
2023-01,74
2023-02,81
2023-03,86
2023-04,74
2023-05,79
2023-06,83
2023-07,78
2023-08,75
2023-09,80
2023-10,80
2023-11,83
2023-12,67
2024-01,78
2024-02,91
2024-03,92
2024-04,90
2024-05,96
2024-06,82
2024-07,82
2024-08,84
2024-09,86
2024-10,98
2024-11,91
2024-12,90
