Monat,Robotik: (Weltweit)
2004-01,90
2004-02,87
2004-03,100
2004-04,84
2004-05,79
2004-06,76
2004-07,65
2004-08,78
2004-09,75
2004-10,80
2004-11,78
2004-12,62
2005-01,64
2005-02,71
2005-03,73
2005-04,69
2005-05,61
2005-06,58
2005-07,53
2005-08,50
2005-09,70
2005-10,70
2005-11,64
2005-12,50
2006-01,57
2006-02,56
2006-03,69
2006-04,53
2006-05,53
2006-06,50
2006-07,38
2006-08,43
2006-09,57
2006-10,56
2006-11,52
2006-12,43
2007-01,48
2007-02,46
2007-03,52
2007-04,46
2007-05,48
2007-06,40
2007-07,38
2007-08,41
2007-09,49
2007-10,49
2007-11,46
2007-12,37
2008-01,41
2008-02,44
2008-03,44
2008-04,42
2008-05,42
2008-06,37
2008-07,33
2008-08,37
2008-09,46
2008-10,43
2008-11,40
2008-12,34
2009-01,36
2009-02,42
2009-03,42
2009-04,38
2009-05,36
2009-06,33
2009-07,31
2009-08,36
2009-09,40
2009-10,43
2009-11,40
2009-12,32
2010-01,37
2010-02,38
2010-03,42
2010-04,38
2010-05,36
2010-06,30
2010-07,27
2010-08,30
2010-09,35
2010-10,36
2010-11,35
2010-12,27
2011-01,33
2011-02,35
2011-03,36
2011-04,36
2011-05,31
2011-06,30
2011-07,27
2011-08,31
2011-09,36
2011-10,36
2011-11,34
2011-12,28
2012-01,33
2012-02,34
2012-03,38
2012-04,34
2012-05,32
2012-06,33
2012-07,32
2012-08,31
2012-09,38
2012-10,41
2012-11,38
2012-12,31
2013-01,35
2013-02,36
2013-03,38
2013-04,36
2013-05,30
2013-06,27
2013-07,26
2013-08,29
2013-09,34
2013-10,34
2013-11,31
2013-12,31
2014-01,34
2014-02,34
2014-03,37
2014-04,35
2014-05,32
2014-06,28
2014-07,27
2014-08,30
2014-09,37
2014-10,35
2014-11,35
2014-12,32
2015-01,34
2015-02,36
2015-03,38
2015-04,39
2015-05,36
2015-06,38
2015-07,32
2015-08,33
2015-09,41
2015-10,36
2015-11,40
2015-12,32
2016-01,35
2016-02,37
2016-03,40
2016-04,39
2016-05,36
2016-06,32
2016-07,29
2016-08,30
2016-09,42
2016-10,38
2016-11,39
2016-12,34
2017-01,39
2017-02,43
2017-03,47
2017-04,45
2017-05,45
2017-06,40
2017-07,40
2017-08,41
2017-09,45
2017-10,47
2017-11,46
2017-12,40
2018-01,45
2018-02,46
2018-03,56
2018-04,57
2018-05,55
2018-06,47
2018-07,47
2018-08,49
2018-09,55
2018-10,53
2018-11,68
2018-12,56
2019-01,55
2019-02,58
2019-03,60
2019-04,67
2019-05,64
2019-06,65
2019-07,64
2019-08,59
2019-09,64
2019-10,63
2019-11,76
2019-12,68
2020-01,68
2020-02,63
2020-03,52
2020-04,35
2020-05,38
2020-06,40
2020-07,39
2020-08,38
2020-09,41
2020-10,38
2020-11,35
2020-12,36
2021-01,35
2021-02,39
2021-03,39
2021-04,38
2021-05,39
2021-06,40
2021-07,36
2021-08,36
2021-09,41
2021-10,42
2021-11,41
2021-12,37
2022-01,43
2022-02,47
2022-03,54
2022-04,55
2022-05,53
2022-06,50
2022-07,37
2022-08,39
2022-09,45
2022-10,46
2022-11,47
2022-12,39
2023-01,47
2023-02,47
2023-03,51
2023-04,52
2023-05,55
2023-06,51
2023-07,46
2023-08,48
2023-09,54
2023-10,53
2023-11,53
2023-12,46
2024-01,51
2024-02,54
2024-03,59
2024-04,61
2024-05,57
2024-06,52
2024-07,50
2024-08,54
2024-09,61
2024-10,61
2024-11,57
2024-12,61
