,TIME_PERIOD,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,EA19,ECU,EGY,ERI,ESP,EST,ETH,EU27_2020,FIN,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MNP,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OECD,OECDA,OECDE,OECDSO,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
0,1970,0.000933,1.20402,1.74406,0.0,,0.0,0.000673,5.320164,,0.0,0.0,10.56028,,,2.689241,,3.465024,4.806,14.54956,,0.014931,0.038135,,,0.06584,0.0,1.1749,77.67005,0.027645,0.072054,2.247582,0.441932,1.5709,39.13922,,4.498235,205.9308,5.431204,4.963367,17.49212,0.805288,0.0,5.858238,0.043058,0.059309,3.002686,1.588344,0.0,,,,0.028702,0.007328,,0.338952,2.452898,,2.597091,7.714191,0.0,,,0.0,,,0.000334,,0.0,0.0,0.400601,15.74242,,6.112788,0.0,6.088371,0.046452,0.183622,0.680544,0.3604,,0.0,0.0,4.312495,0.030344,0.0,0.712892,0.7018,5.355665,,1.027694,,139.192,135.204,,4.186073,0.173384,,0.555724,,0.42719,0.069128,59.08598,,7.379897,,9.14072,0.000772,0.0,4.688208,0.052752,3.587522,0.243837,1.16192,0.355316,0.005037,0.0,4.289022,1.066526,,,,0.058178,4.302061,,2.862222,0.005869,19.88731,0.0,,2.049669,,9.502208,1.05956,0.0,6.186552,0.530535,0.0,0.038476,0.03032,2.88216,8.381525,0.0,0.283634,0.023609,2.042904,2e-05,28.5392,3.31782,7.3e-05,,,7.342463,0.0,3.139632,,,,,0.003796,10.23994,1.156375,3.765658,14.31075,0.0,3.07184,,2.475452,,2.366037,0.017283,0.01068,0.054216,,,2.954736,0.12729,0.0,2.589249,1.132595,0.0,0.056032,3.68955,2.098917,0.0,2.432564,0.0,,0.0,0.042053,0.16835,,,,0.319316,0.0,0.171604,0.000125,2.467659,2.530736,17.98592,,0.0,,0.0,0.001312,0.177872,1.069126,,0.0,2.47736,10.8963,13.5004,,1.761939,197.8541,,1.936754,0.000341,14.70148,0.021308,0.0,0.055292,0.097424,10.35469,3.236018,3.830022
1,1971,0.000923,1.244451,1.906199,0.0,,0.0,0.000729,5.585856,,0.0,0.0,10.81293,,,2.639369,,3.494688,4.908231,14.99431,,0.015647,0.03875,,,0.067164,0.0,1.189756,78.67046,0.028881,0.075376,2.268329,0.441205,1.6423,38.16757,,5.365404,209.1554,5.39809,5.006045,17.83952,0.822237,0.0,5.90814,0.043228,0.061128,3.037932,1.772413,0.0,,,,0.031148,0.007324,,0.361312,2.541998,,2.613574,7.798576,0.0,,,0.0,,,0.000334,,0.0,0.0,0.739168,14.54312,,6.093316,0.0,6.089373,0.04668,0.18549,0.705521,0.2822,,0.0,0.0,4.401125,0.032743,0.0,0.697593,0.855928,5.446682,,1.032611,,137.5289,139.0334,,4.291595,0.193968,,0.565928,,0.437141,0.064458,54.99353,,7.367409,,9.305278,0.0008,0.0,5.27392,0.070744,3.602244,0.299462,1.229666,0.402268,0.005154,0.0,4.330852,1.074479,,,,0.043538,4.327444,,2.951525,0.005913,19.82613,0.0,,2.080895,,9.692464,1.111516,0.0,6.292008,0.539505,0.0,0.028984,0.032668,2.979495,8.167843,0.0,0.291879,0.027629,2.076639,2e-05,28.28056,3.461883,7.3e-05,,,7.911361,0.0,2.96596,,,,,0.003949,10.56215,1.154259,3.986155,15.07681,0.0,3.122056,,2.505193,,2.462492,0.01428,0.010132,0.05084,,,3.037016,0.144994,0.0,2.642464,1.081131,0.0,0.058448,3.639689,2.142797,0.0,2.486405,0.0,,0.0,0.043458,0.212021,,,,0.480256,0.0,0.136724,0.000125,2.521879,2.586652,18.22176,,0.0,,0.0,0.001325,0.183199,1.073261,,0.0,3.10764,11.0529,13.84507,,1.783345,205.0863,,1.861041,0.000355,15.28334,0.02182,0.0,0.06724,0.113558,10.48026,3.304076,3.953782
2,1972,0.000932,1.305495,1.690776,0.0,,0.0,0.000872,5.379485,,0.0,0.0,10.06658,,,2.704748,,3.475652,4.966609,15.39292,,0.017978,0.016911,,,0.06816,0.0,1.193486,78.56322,0.028849,0.064237,2.280812,0.432402,1.69534,39.5157,,5.434656,214.1041,5.449862,5.058464,18.35253,0.849716,0.0,6.379065,0.044683,0.063009,3.066034,1.705036,0.0,,,,0.033447,0.007088,,0.4751,2.429804,,2.801523,8.087291,0.0,,,0.0,,,0.000334,,0.0,0.0,0.723904,15.46908,,6.243456,0.0,6.115235,0.04518,0.18936,0.725451,0.278596,,0.0,0.0,4.550689,0.031723,0.0,0.703772,0.711667,5.516238,,1.043608,,136.5592,143.8377,,4.080873,0.172752,,0.581388,,0.395999,0.080797,56.92847,,7.415324,,9.443598,0.000794,0.0,5.656937,0.058686,3.648895,0.329914,1.314751,0.447224,0.005273,0.0,4.404671,1.07572,,,,0.041271,4.404178,,2.523968,0.005998,20.09685,0.0,,2.108222,,9.84638,1.101068,0.0,6.429044,0.548154,0.0,0.03648,0.034152,3.068179,9.279751,0.0,0.299771,0.026957,2.166548,4.9e-05,28.75799,3.537846,7.3e-05,,,7.925038,0.0,3.1109,,,,,0.004034,10.70212,1.166004,4.107758,15.96584,0.0,3.30084,,2.525851,,2.387804,0.016213,0.003112,0.050008,,,3.122016,0.170211,0.0,2.667688,0.766197,0.0,0.057496,3.634436,2.187331,0.0,2.500092,0.0,,0.0,0.041867,0.168983,,,,0.5502,0.0,0.138076,0.000118,2.55961,2.594727,19.22734,,0.0,,0.0,0.001366,0.16146,1.050109,,0.0,4.310516,11.08481,14.1439,,1.777256,203.7849,,1.989894,0.000357,15.85586,0.02182,0.0,0.07724,0.087028,10.2918,3.285464,2.699862
3,1973,0.000923,1.32602,1.570504,0.0,,0.0,0.001021,5.161157,,0.0,0.0,9.786462,,,2.685191,,3.471389,5.078019,16.08917,,0.022663,0.02378,,,0.07214,0.0,1.221257,78.69656,0.03232,0.06249,2.332007,0.429843,1.77082,49.17657,,4.964884,216.8342,5.942375,4.974003,18.58915,0.929345,0.0,6.422192,0.046324,0.065155,3.254084,1.812872,0.0,,,,0.034953,0.007062,,0.473492,2.553213,,2.876101,7.942638,0.0,,,0.0,,,0.000334,,0.0,0.0,0.658487,16.54214,,6.65202,0.0,6.115748,0.025872,0.194649,0.753786,0.274652,,0.0,0.0,4.573516,0.031451,0.0,0.696784,0.657804,5.476768,,1.056216,,137.0068,147.2345,,3.559655,0.126936,,0.586912,,0.434814,0.077103,62.70065,,7.659563,,9.777417,0.000774,0.0,6.164444,0.083258,3.733321,0.317033,1.349968,0.641348,0.005464,0.0,4.386713,1.043391,,,,0.041627,4.453772,,2.447316,0.006048,20.64614,0.0,,2.169563,,10.07726,1.108608,0.0,6.59926,0.566696,0.0,0.033084,0.034184,2.537645,10.38123,0.0,0.308154,0.027195,2.3472,6.2e-05,28.82321,3.574809,6e-05,,,8.07483,0.0,4.033336,,,,,0.004413,10.81943,1.1444,4.19643,15.28103,0.0,3.3067,,2.548158,,2.590237,0.017187,0.003512,0.057184,,,3.211096,0.143553,0.0,2.76357,0.9502,0.0,0.063616,3.599556,2.219307,0.0,2.600265,0.0,,0.0,0.040406,0.146261,,,,0.518856,0.0,0.159388,0.000135,2.646121,2.606876,19.24118,,0.0,,0.0,0.00141,0.138884,1.089737,,0.0,4.358612,10.98112,14.46212,,1.82142,205.6665,,2.005983,0.000371,16.11735,0.0223,0.0,0.080876,0.08958,10.40906,3.307314,2.811382
4,1974,0.000913,1.355034,1.648092,0.0,,0.0,0.001233,5.569761,,0.0,0.0,10.09565,,,2.719361,,3.472527,5.102172,16.15268,,0.02221,0.030234,,,0.071632,0.0,1.289942,80.72565,0.032364,0.063307,2.375419,0.426667,1.69398,45.97449,,4.958424,224.6171,5.911488,5.047023,19.02109,0.822176,0.0,6.079158,0.046488,0.065218,3.213935,1.848352,0.0,,,,0.037802,0.007354,,0.4689,2.833387,,2.912988,8.16891,0.0,,,0.0,,,0.000334,,0.0,0.0,0.723955,15.99863,,6.77686,0.0,6.064368,0.025872,0.193627,0.787888,0.278732,,0.0,0.0,4.660514,0.027061,0.0,0.715524,0.604754,5.381293,,1.059374,,133.8548,151.5963,,3.448494,0.320709,,0.695225,,0.464053,0.076302,59.42725,,7.918546,,9.771581,0.000717,0.0,6.062215,0.089107,3.800947,0.306893,1.187552,0.64252,0.005659,0.0,4.413505,1.043924,,,,0.031263,4.611768,,2.187113,0.006102,21.59453,0.0,,2.234273,,10.50832,1.06758,0.0,6.738868,0.564866,0.0,0.030781,0.034256,2.548632,9.081297,0.0,0.314066,0.028287,2.368398,4.9e-05,28.29041,3.612092,6e-05,,,7.950039,0.0,3.1542,,,,,0.004519,10.98417,1.146999,4.458316,15.50514,0.0,3.31202,,2.5693,,2.769754,0.014938,0.003612,0.048868,,,3.304256,0.166356,0.0,2.810068,0.913842,0.0,0.068036,3.538573,2.243686,0.0,2.844034,0.0,,0.0,0.041294,0.171517,,,,0.482616,0.0,0.184652,0.000135,2.665557,2.610674,19.55601,,0.0,,0.0,0.001399,0.154638,1.164096,,0.0,4.158652,11.08443,14.80682,,1.848503,203.0296,,2.323767,0.000369,16.28598,0.022824,0.0,0.080028,0.095485,10.89475,3.360651,2.927662
5,1975,0.000904,1.326881,1.877356,0.0,,0.0,0.00152,5.495531,,0.0,0.0,10.80538,,,2.759311,,3.539675,5.195244,16.47609,,0.02234,0.03513,,,0.071828,0.0,1.267546,84.82381,0.032366,0.086905,2.338738,0.439927,1.766876,40.82522,,4.905144,235.3367,5.924279,5.133767,19.60621,0.837163,0.0,6.124633,0.050472,0.066425,3.312988,1.872252,0.0,,,,0.040697,0.00725,,0.47418,2.752146,,2.857276,8.239699,0.0,,,0.0,,,0.000334,,0.0,0.0,0.483974,11.78687,,6.81408,0.0,6.043187,0.025872,0.202164,0.822829,0.282812,,0.0,0.0,4.803941,0.130225,0.0,0.650255,0.583558,5.348242,,1.076633,,129.5325,152.7039,,3.853137,0.326991,,0.70878,,0.472614,0.099132,48.1827,,8.184476,,9.611398,0.000726,0.0,6.245889,0.065311,3.779431,0.297529,1.171232,0.5651,0.005632,0.0,4.424005,1.095738,,,,0.02842,4.504417,,2.404324,0.006159,21.87641,0.0,,2.206142,,10.59699,1.112156,0.0,6.892704,0.584859,0.0,0.031798,0.038657,3.356827,8.471597,0.0,0.31703,0.019641,2.48195,4.9e-05,29.98384,3.694432,6e-05,,,8.125103,0.0,3.376932,,,,,0.004521,11.14081,1.13121,4.611864,16.10728,0.0,3.660608,,2.58002,,3.011873,0.013162,0.003612,0.044432,,,3.401496,0.219786,0.0,2.845149,0.834567,0.0,0.069808,3.505866,2.279424,0.0,2.757535,0.0,,0.0,0.041731,0.225047,,,,0.79664,0.0,0.158864,0.000135,2.669839,2.632757,19.29279,,0.0,,0.0,0.001629,0.127787,1.138347,,0.0,3.83542,11.17718,15.22506,,1.90139,180.4877,,2.268823,0.000368,16.49645,0.023048,0.0,0.081036,0.094135,10.65422,3.517312,3.049382
6,1976,0.00089,1.344118,1.905173,0.0,,0.0,0.001803,5.488623,,0.0,0.0,9.962362,,,2.773349,,3.558792,5.198178,16.88214,,0.060214,0.040796,,,0.070356,0.0,1.273069,87.32684,0.031895,0.108977,2.339524,0.4375,1.77872,47.2035,,5.21598,243.4839,6.042727,5.284493,20.3836,0.883639,0.0,6.145933,0.057073,0.06712,3.400434,1.767172,0.0,,,,0.043722,0.007112,,0.54622,2.708508,,2.939885,8.168108,0.0,,,0.0,,,0.000334,,0.0,0.0,0.204844,14.09676,,7.15088,0.0,5.962932,0.030744,0.20479,0.867535,0.276012,,0.0,0.0,4.825737,0.123214,0.0,0.654858,0.81305,5.503691,,1.077117,,128.4933,156.6387,,3.838114,0.310467,,0.671329,,0.473386,0.13267,53.73498,,8.509614,,9.245549,0.000809,0.0,7.276747,0.140043,3.802154,0.301467,1.011976,0.49842,0.005655,0.0,4.45207,1.10151,,,,0.024893,4.603857,,2.371159,0.006279,22.35877,0.0,,2.181753,,10.88063,1.140908,0.0,7.050192,0.587494,0.0,0.032624,0.042804,3.463464,9.626445,0.0,0.325605,0.019799,2.571062,4.9e-05,30.00976,3.709613,6e-05,,,8.203345,0.0,3.725776,,,,,0.004583,11.35954,1.188676,5.04013,17.81327,0.0,3.793828,,2.592352,,3.03875,0.011383,0.003562,0.058952,,,3.502136,0.533781,0.0,2.87979,1.165972,0.0,0.06054,3.546449,2.309381,0.0,2.880951,0.0,,0.0,0.042034,0.206594,,,,0.557136,0.0,0.139012,0.000135,2.703798,2.67175,19.48045,,0.0,,0.0,0.001417,0.122563,1.157863,,0.0,4.334436,11.2749,15.68461,,1.922661,198.931,,2.530199,0.000368,16.92364,0.019424,0.0,0.058232,0.09916,10.52324,3.55175,3.1184
7,1977,0.000858,1.352762,1.899925,0.0,,0.0,0.002117,5.552329,,0.0,0.0,10.3196,,,2.783387,,3.545933,5.297416,17.26771,,0.090718,0.067181,,,0.067176,0.0,1.227448,90.30248,0.034128,0.10646,2.385127,0.449999,1.811348,46.85001,,5.032646,243.7148,6.172852,5.545421,21.03386,0.901285,0.0,6.185047,0.05941,0.067795,3.427164,1.624372,0.0,,,,0.048603,0.00704,,0.550044,2.996021,,3.047336,8.645584,0.0,,,0.0,,,0.000334,,0.0,0.0,0.031439,13.79195,,7.250188,0.0,6.01385,0.022358,0.210401,0.939487,0.266152,,0.0,0.0,5.017764,0.0906,0.0,0.636731,0.850043,5.527736,,1.090627,,124.6746,158.3706,,4.01821,0.320567,,0.651665,,0.492569,0.142749,55.30333,,8.727578,,9.069264,0.00084,0.0,8.20669,0.140827,3.801899,0.135902,1.77764,0.5628,0.004747,0.0,4.486937,1.090283,,,,0.014833,4.750029,,2.735541,0.006295,22.7288,0.0,,2.183152,,11.18378,1.36864,0.0,7.838976,0.601598,0.0,0.031452,0.043176,2.643037,9.895665,0.0,0.328919,0.024013,2.609283,4.9e-05,30.18497,3.696642,6e-05,,,8.219287,0.0,3.294015,,,,,0.00488,11.53559,1.147951,4.901895,17.63087,0.0,3.780288,,2.607589,,3.154915,0.01344,0.003644,0.110476,,,3.608216,0.614208,0.0,2.946162,1.114236,0.0,0.085916,3.541975,2.343508,0.0,2.876924,0.0,,0.0,0.042468,0.230256,,,,0.681236,0.0,0.235652,0.000135,2.752106,2.667585,19.82869,,0.0,,0.0,0.001416,0.132308,1.197561,,0.0,5.345988,11.50399,16.16578,,1.976231,207.0654,,2.56541,0.000373,17.42169,0.019696,0.0,0.077932,0.10896,9.636397,3.686381,3.35763
8,1978,0.000845,1.355579,1.887268,0.0,,0.0,0.002585,5.363474,,0.0,0.0,10.19475,,,2.871466,,3.560457,5.357486,17.27808,,0.055493,0.098648,,,0.073804,0.0,1.328876,95.57657,0.034886,0.094365,2.571248,0.449609,1.88574,50.14398,,4.97784,240.8072,6.090363,5.420422,21.98116,0.928873,0.0,6.190046,0.061795,0.066634,3.37134,1.924324,0.0,,,,0.05216,0.006973,,0.655764,2.908026,,3.019345,8.562193,0.0,,,0.0,,,0.000334,,0.0,0.0,-0.164832,13.848,,7.090752,0.0,5.979282,0.022652,0.22023,0.975646,0.2771,,0.0,0.0,5.166216,0.084557,0.0,0.652728,1.009531,5.562148,,1.095038,,124.3032,160.6532,,3.964392,0.322099,,0.744426,,0.460876,0.150309,55.96571,,9.127972,,8.62673,0.000873,0.0,9.413656,0.135248,3.853783,0.137302,1.677944,0.595704,0.005641,0.0,4.570816,1.085451,,,,0.036415,4.717468,,2.802632,0.006278,21.74965,0.0,,2.241294,,11.78494,1.42044,0.0,8.042484,0.615507,0.0,0.029228,0.045065,2.650303,10.27802,0.0,0.338741,0.019641,2.630017,4.9e-05,32.2547,3.758751,4.2e-05,,,8.214475,0.0,2.916067,,,,,0.005282,11.73931,1.166176,4.783695,17.02389,0.0,3.99304,,2.608265,,3.465357,0.015036,0.003664,0.108346,,,3.718376,0.550495,0.0,3.03209,1.246505,0.0,0.047264,3.599884,2.360024,0.0,2.98704,0.0,,0.0,0.043549,0.225447,,,,0.63988,0.0,0.228608,0.000135,2.809512,2.639707,19.56149,,0.0,,0.0,0.001429,0.170671,1.238141,,0.0,6.182472,11.65201,16.87323,,2.002215,233.8307,,2.63869,0.000387,17.68343,0.020684,0.0,0.082016,0.119873,10.04192,3.795404,3.488536
9,1979,0.000815,1.361169,1.88613,0.0,,0.0,0.002885,6.247131,,0.0,0.0,9.901536,,,2.951248,,3.544261,5.388532,17.60528,,0.03021,0.103525,,,0.074988,0.0,1.416002,101.3409,0.030728,0.102045,2.59219,0.458374,1.884576,53.20331,,5.763308,241.774,6.105934,5.329569,22.68265,0.93408,0.0,6.506133,0.063626,0.065936,3.441029,2.480348,0.0,,,,0.056526,0.00721,,0.43552,3.042761,,4.195106,8.444561,0.0,,,0.0,,,0.000334,,0.0,0.0,0.302473,14.85645,,7.11406,0.0,6.017867,0.022364,0.219446,1.029321,0.289068,,0.0,0.0,4.873652,0.102179,0.0,0.672379,0.979666,5.486514,,1.094783,,121.1675,167.8658,,3.921957,0.280496,,0.788987,,0.478917,0.173674,59.4493,,9.381105,,8.461988,0.000925,0.0,9.186667,0.143756,3.780633,0.137853,1.844396,0.596204,0.004595,0.0,4.623407,1.108188,,,,0.038675,4.736446,,2.897538,0.006337,22.5686,0.0,,2.222084,,12.00782,1.56216,0.0,8.20042,0.622669,0.0,0.033072,0.049612,2.692392,10.07421,0.0,0.348399,0.021156,2.693424,4.9e-05,32.64782,4.000313,4.2e-05,,,8.295319,0.0,2.503209,,,,,0.005656,11.96258,1.120863,4.980961,17.00924,0.0,4.03232,,2.61259,,3.742001,0.020575,0.004222,0.103959,,,3.139016,0.662763,0.0,3.06651,1.123097,0.0,0.07078,3.520231,2.384286,0.0,3.169641,0.0,,0.0,0.043528,0.261313,,,,0.253964,0.0,0.257716,0.000158,3.012157,2.698124,20.50006,,0.0,,0.0,0.001442,0.190759,1.265418,,0.0,6.512317,11.79045,17.84069,,2.096866,237.8907,,2.679972,0.000392,18.07118,0.017488,0.0,0.087536,0.121222,10.7303,3.926507,3.635128
