,TIME_PERIOD,AUT,BEL,BGR,CHE,CHL,CZE,DEU,DNK,EA19,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IRL,ITA,JPN,LTU,LUX,LVA,NLD,POL,PRT,ROU,RUS,SVK,SVN,SWE,TUR
0,1985-01,-16.4,-4.8,,,,,-20.8,,-14.8,,,-48.1,-11.2,12.8,13.1,,,7.4,9.8,,,-15.0,,,,,,,,,,
1,1985-02,-18.0,5.5,,,,,-22.3,,-15.5,,,-47.0,-7.8,12.6,13.1,,,10.6,4.8,,,-16.0,,,,,,,,,,
2,1985-03,-17.9,2.6,,,,,-24.2,,-12.0,,,-47.6,-4.2,12.4,13.1,,,10.4,10.8,,,-31.0,,,,,,,,,,
3,1985-04,-10.9,7.3,,,,,-27.3,,-12.3,,,-44.8,-0.8,7.5,3.1,,,1.4,4.8,,,-23.0,,,,,,,,,,
4,1985-05,-13.6,6.4,,,,,-23.0,,-7.9,,,-44.1,-1.7,7.1,3.1,,,0.7,12.8,,,-16.0,,,,,,,,,,
5,1985-06,-11.9,5.3,,,,,-15.7,,-8.5,,,-42.9,-2.6,6.7,3.1,,,3.5,7.8,,,-11.0,,,,,,,,,,
6,1985-07,-10.0,5.7,,,,,-7.7,,-2.3,,,-37.1,-2.2,9.1,6.1,,,7.8,11.8,,,-7.0,,,,,,,,,,
7,1985-08,-11.4,6.3,,,,,-1.1,,-0.4,,,-35.5,-1.7,9.1,6.1,,,9.9,11.8,,,-4.0,,,,,,,,,,
8,1985-09,-10.5,10.1,,,,,3.0,,8.2,,,-32.6,-1.2,9.2,6.1,,,6.6,33.8,,,-9.0,,14.3,,,,,,,,
9,1985-10,-10.5,15.3,,,,,2.7,,0.5,,,-52.1,-1.0,14.2,9.1,,,24.6,3.8,,,-2.0,,13.9,,,,,,,,
10,1985-11,-10.8,21.0,,,,,8.4,,3.5,,,-51.1,-2.8,14.4,9.1,,,25.3,9.8,,,3.0,,10.2,,,,,,,,
11,1985-12,-11.5,17.7,,,,,4.3,,2.4,,,-49.8,-3.7,14.1,9.1,,,24.0,14.8,,,-10.0,,14.2,,,,,,,,
12,1986-01,-10.4,15.7,,,,,1.2,,1.8,,,-34.1,-2.3,22.1,28.1,,,21.4,12.8,,,-6.0,,11.8,,,,,,,,
13,1986-02,-12.2,14.0,,,,,-0.3,,0.5,,,-33.0,-0.9,22.9,28.1,,,24.6,6.8,,,-9.0,,16.5,,,,,,,,
14,1986-03,-12.1,11.7,,,,,-1.9,,0.4,,,-33.6,0.7,24.1,28.1,,,24.4,1.8,,,-6.0,,15.7,,,,,,,,
15,1986-04,-8.0,14.4,,,,,-1.7,,5.8,,,-13.7,2.2,18.1,45.1,,,26.4,5.8,,,9.0,,21.2,,,,,,,,
16,1986-05,-10.8,8.9,,,,,8.5,,13.5,,,-13.1,1.4,18.4,45.1,,,25.7,14.8,,,9.0,,30.5,,,,,,,,
17,1986-06,-9.0,4.7,,,,,7.3,,8.7,,,-11.9,0.2,18.6,45.1,,,28.4,6.8,,,23.0,,30.2,,,,,,,,
18,1986-07,-7.8,5.0,,,,,9.1,,8.4,,,-9.0,-1.5,19.3,28.1,,,12.8,4.8,,,30.0,,24.9,,,,,,,,
19,1986-08,-9.3,6.1,,,,,9.7,,7.6,,,-7.4,-2.9,19.6,28.1,,,14.9,9.8,,,22.0,,24.9,,,,,,,,
20,1986-09,-8.4,1.2,,,,,9.5,,7.3,,,-4.5,-4.3,19.8,28.1,,,11.6,5.8,,,27.0,,24.4,,,,,,,,
21,1986-10,-10.3,1.1,,,,,10.6,,12.8,,,0.7,-5.6,27.4,26.1,,,5.6,20.8,,,30.0,,27.9,,,,,,,,
22,1986-11,-10.7,0.4,,,,,7.4,,5.1,,,1.7,-6.8,28.0,26.1,,,6.3,5.8,,,18.0,,24.0,,,,,,,,
