,TIME_PERIOD,A5M,AUS,BRA,CAN,CHN,DEU,ESP,FRA,G20,G4E,G7,GBR,IDN,IND,ITA,JPN,KOR,MEX,NAFTA,TUR,USA,ZAF
0,1955-01,,,,,,,,,,,,,,,,,,,,,101.4647,
1,1955-02,,,,,,,,,,,,,,,,,,,102.8536,,101.8241,
2,1955-03,,,,,,,,,,,,,,,,,,,103.154,,102.1215,
3,1955-04,,,,,,,,,,,,,,,,,,,103.3652,,102.3306,
4,1955-05,,,,,,,,,,,,,,,,,,,103.4871,,102.4513,
5,1955-06,,,,,,,,,,,,,,,,,,,103.527,,102.4908,
6,1955-07,,,,,,,,,,,,,,,,,,,103.5285,,102.4923,
7,1955-08,,,,,,,,,,,,,,,,,,,103.5127,,102.4767,
8,1955-09,,,,,,,,,,,,,,,,,,,103.4851,,102.4493,
9,1955-10,,,,,,,,,,,,,,,,,,,103.4292,,102.394,
10,1955-11,,,,,,,,,,,,,,,,,,,103.3104,,102.2764,
11,1955-12,,,,,,,,,,,,,,,,,,,103.1037,,102.0718,
12,1956-01,,,,102.4479,,,,,,,,,,,,,,,102.8025,,101.7736,
13,1956-02,,,,102.2666,,,,,,,,,,,,,,,102.4685,,101.4279,
14,1956-03,,,,102.0724,,,,,,,,,,,,,,,102.1402,,101.0897,
15,1956-04,,,,101.8497,,,,,,,,,,,,,,,101.8305,,100.7746,
16,1956-05,,,,101.6066,,,,,,,,,,,,,,,101.5578,,100.5018,
17,1956-06,,,,101.3735,,,,,,,,,,,,,,,101.3648,,100.3147,
18,1956-07,,,,101.1693,,,,,,,,,,,,,,,101.2848,,100.2479,
19,1956-08,,,,100.9883,,,,,,,,,,,,,,,101.3183,,100.3023,
20,1956-09,,,,100.8061,,,,,,,,,,,,,,,101.4123,,100.4227,
21,1956-10,,,,100.6128,,,,,,,,,,,,,,,101.5113,,100.5496,
22,1956-11,,,,100.4163,,,,,,,,,,,,,,,101.5705,,100.6336,
23,1956-12,,,,100.224,,,,,,,,,,,,,,,101.5465,,100.6265,
24,1957-01,,,,100.016,,,,,,,,,,,,,,,101.4196,,100.5089,
25,1957-02,,,,99.77755,,,,,,,,,,,,,,,101.2296,,100.3257,
26,1957-03,,,,99.52162,,,,,,,,,,,,,,,100.9821,,100.0817,
27,1957-04,,,,99.24644,,,,,,,,,,,,,,,100.7125,,99.81532,
28,1957-05,,,,98.95458,,,,,,,,,,,,,,,100.4479,,99.55616,
29,1957-06,,,,98.63065,,,,,,,,,,,,,,,100.1643,,99.27956,
30,1957-07,,,,98.26795,,,,,,,,,,,,,,,99.83006,,98.95156,
31,1957-08,,,,97.88648,,,,,,,,,,,,,,,99.42721,,98.55077,
32,1957-09,,,,97.5366,,,,,,,,,,,,,,,98.96307,,98.08012,
33,1957-10,,,,97.27584,,,,,,,,,,,,,,,98.48476,,97.5852,
34,1957-11,,,,97.14925,,,,,,,,,,,,,,,98.06152,,97.13694,
35,1957-12,,,,97.16046,,,,,,,,97.30748,,,,,,,97.74393,,96.79005,
36,1958-01,,,,97.32318,,,,,,,,97.36321,,,,,,,97.59023,,96.60658,
37,1958-02,,,,97.64975,,,,,,,,97.50327,,,,,,,97.63425,,96.62215,
38,1958-03,,,,98.11751,,,,,,,,97.67904,,,,,,,97.86949,,96.83192,
39,1958-04,,,,98.696,,,,,,,,97.84743,,,,,,,98.27031,,97.21098,
40,1958-05,,,,99.34573,,,,,,,,98.03847,,,,,,,98.81863,,97.74358,
41,1958-06,,,,100.0085,,,,,,,,98.28294,,,,,,,99.46313,,98.3796,
42,1958-07,,,,100.6283,,,,,,,,98.61672,,,,,,,100.1371,,99.05191,
43,1958-08,,,,101.1629,,,,,,,,99.01325,,,,,,,100.7964,,99.71682,
44,1958-09,,,,101.5929,,,,,,,,99.42019,,,,,,,101.4215,,100.3548,
45,1958-10,,,,101.9137,,,,,,,,99.79952,,,,,,,102.0126,,100.9666,
46,1958-11,,,,102.1282,,,,,,,,100.0927,,,,,,,102.5586,,101.5398,
47,1958-12,,,,102.2623,,,,,,,,100.2074,,,,,,,103.0507,,102.0622,
48,1959-01,,,,102.349,,,,,,,101.7124,100.1443,,,,97.67086,,,103.492,,102.534,
49,1959-02,,,,102.3828,,,,,,,102.0117,99.98447,,,,98.06351,,,103.8407,,102.9103,
50,1959-03,,,,102.3434,,,,,,,102.2133,99.81743,,,,98.41548,,,104.0559,,103.1486,
51,1959-04,,,,102.2202,,,,,,,102.31,99.69478,,,,98.74045,,,104.1134,,103.2234,
52,1959-05,,,,102.0016,,,,,,,102.296,99.60682,,,,99.0416,,,104.0049,,103.1269,
53,1959-06,,,,101.6872,,,,,,,102.19,99.6517,,,,99.32167,,,103.7405,,102.8702,
54,1959-07,,,,101.2923,,,,,,,102.0308,99.92329,,,,99.58331,,,103.3616,,102.4968,
55,1959-08,,,,100.8589,,,,,,,101.8786,100.5206,,,,99.82732,,,102.942,,102.083,
56,1959-09,,,,100.4627,,,,,,,101.7859,101.4804,,,,100.0528,,,102.5554,,101.7013,
57,1959-10,,,,100.1615,,,,,,,101.7588,102.608,,,,100.2576,,,102.246,,101.3942,
58,1959-11,,,,99.94993,,,,,,,101.7648,103.6061,,,,100.4328,,,102.0196,,101.1688,
59,1959-12,,,,99.79365,,,,,,,101.7512,104.234,,,,100.5676,,,101.8424,,100.9913,
