,TIME_PERIOD,AUS,AUT,BEL,BRA,CAN,CHE,CHL,CHN,COL,CRI,CZE,DEU,DNK,EA19,ESP,EST,FIN,FRA,GBR,GRC,HUN,IDN,IND,IRL,ISL,ISR,ITA,JPN,KOR,LUX,LVA,MEX,NLD,NOR,NZL,POL,PRT,RUS,SVK,SVN,SWE,TUR,USA,ZAF
0,1970-01,,85.17433,103.6868,2673.564,129.5987,58.47663,,548.8714,,,,108.756,84.62898,109.8394,73.87298,,119.8313,115.767,,112.5244,,328.1651,215.1532,90.33179,112.1217,,116.6621,69.78425,161.9356,104.8619,,118.6566,92.8091,103.4451,89.2795,,81.92427,,,,157.3528,157.2665,125.3809,
1,1970-02,,84.8569,103.6523,2629.175,128.9966,58.50583,,559.0031,,,,108.4976,84.82346,109.6723,73.38818,,119.5232,115.8579,,112.1297,,328.2191,214.3646,90.4806,113.3711,,117.1953,69.59448,165.085,105.2847,,118.132,93.03007,103.572,89.24721,,80.56126,,,,158.5885,157.4357,126.1862,
2,1970-03,,84.34484,103.5222,2596.092,128.2422,58.05972,,545.5818,,,,108.7715,84.77258,109.7192,73.53056,,119.0896,115.473,,113.1464,,322.5548,215.493,91.16827,114.3176,,116.936,69.82706,167.0108,104.7146,,117.8038,93.36811,103.5735,88.62973,,81.70211,,,,158.0394,156.8106,125.7646,
3,1970-04,,83.75986,102.9856,2543.109,127.8397,57.61852,,543.8101,,,,109.5924,84.26855,109.9124,73.34896,,118.4808,115.3699,,113.9601,,292.5416,215.9266,91.2758,114.8359,,116.4107,69.92384,167.0517,104.3616,,117.0491,93.0738,103.4127,89.10301,,80.39581,,,,157.0576,155.7701,125.965,
4,1970-05,,83.78423,102.7484,2522.158,127.512,57.91378,,546.1589,,,,109.4867,84.81277,109.9048,72.69481,,118.1514,115.7659,,113.798,,272.1107,217.9209,92.19668,114.5763,,116.6062,69.32381,165.6171,104.704,,117.0161,93.0494,103.0127,88.87955,,79.33276,,,,157.1647,156.2725,126.1307,
5,1970-06,,84.46247,102.4716,2488.399,131.2868,57.94696,,546.4682,,,,109.4191,84.65551,109.8916,72.79823,,118.2054,115.9634,,113.5103,,275.9629,219.451,92.3548,115.9068,,116.4869,69.1208,161.8828,104.7815,,117.2503,93.17749,103.2639,88.54115,,79.26386,,,,157.7277,157.3358,125.6343,
6,1970-07,,84.84698,102.6755,2448.343,132.7001,58.05246,,546.9857,,,,108.8947,85.91573,109.4531,73.92623,,117.7849,115.8497,,111.424,,274.7155,219.5232,92.18177,116.9711,,116.2834,68.63069,161.7452,104.7994,,117.2628,93.48769,104.1787,89.41994,,79.38579,,,,158.2266,156.1669,125.3331,
7,1970-08,,84.62324,102.6807,2430.392,134.1045,58.27348,,547.194,,,,108.6527,85.95937,109.6675,75.01585,,117.9137,116.0683,,109.541,,274.1514,220.6037,92.61082,118.3988,,116.6722,68.52904,162.7935,104.47,,117.683,94.22243,103.777,89.30827,,79.87216,,,,158.8739,95.34206,124.7713,
8,1970-09,,84.64425,102.2436,2403.191,133.3957,58.36104,,541.7222,,,,108.09,86.49035,109.3642,75.00238,,117.6671,116.1431,,110.6174,,266.2748,220.538,92.84462,121.2465,,117.5957,69.41183,164.9018,104.6445,,117.3968,94.75056,104.5692,88.88164,,80.35452,,,,158.0067,95.83483,124.7866,
9,1970-10,,84.61733,101.9038,2359.494,131.927,57.99044,,536.8556,,,,107.9608,86.17472,108.9898,75.32658,,117.0036,115.9674,,111.5393,,263.7874,220.3626,92.76427,122.8766,,117.8735,70.16271,164.5636,104.5054,,116.7946,94.63303,104.4312,91.46772,,80.31873,,,,158.3569,97.13129,124.7116,
10,1970-11,,84.32375,101.7027,2293.091,131.4236,58.63113,,534.6097,,,,107.9305,86.25672,108.8018,75.09754,,116.7373,115.8954,,110.9989,,273.2539,219.3096,92.90702,122.0783,,118.2893,69.90182,163.9635,104.2726,,116.8412,94.47916,104.3748,91.23466,,80.35992,,,,159.0179,97.87132,125.138,
11,1970-12,,84.45958,101.499,2253.562,130.4881,58.73063,,532.1461,,,,107.8193,85.88495,108.3799,75.00829,,116.0998,115.7848,,112.2616,,273.7659,214.8912,92.86815,119.1802,,118.0764,70.00829,168.7021,104.1363,,117.2581,94.24365,105.2084,90.80814,,80.55999,,,,159.438,98.47253,125.2835,
12,1971-01,,83.72775,101.0497,2213.106,131.3986,58.61021,,525.4617,,,,108.4121,84.70474,108.3711,75.13058,,115.7496,115.4777,,111.1884,,278.808,210.8113,92.51332,119.3015,,117.3783,70.17017,169.7597,103.976,,117.9413,94.51085,104.0959,92.47099,,81.37479,,,,162.9,98.66675,124.0161,
13,1971-02,,83.13817,101.0668,2176.0,132.1938,58.59129,,532.4446,,,,109.2425,84.22122,108.9999,74.58718,,115.9803,115.1655,,108.8206,,286.6049,209.5922,92.64188,118.3707,,116.8946,70.05496,172.9435,103.9995,,117.9762,95.01974,103.5661,92.53118,,81.24807,,,,161.8135,100.3466,123.9813,
14,1971-03,,82.89575,101.0136,2144.065,131.9808,58.63506,,521.0967,,,,108.8676,83.89981,108.732,75.04939,,116.0029,115.1817,,110.0599,,284.977,208.7786,92.8859,118.5077,,117.0799,69.92096,175.3739,104.4134,,118.0311,95.2461,103.6853,91.99477,,82.85709,,,,161.6856,100.8734,123.4471,
15,1971-04,,82.93131,100.8402,2108.359,132.4602,58.32869,,515.6985,,,,108.8342,84.14283,108.5855,75.34405,,116.0542,115.1391,,110.9164,,279.8362,207.2029,92.27175,117.3913,,116.7419,70.59717,168.8776,103.9265,,118.1478,95.74974,103.1504,92.98703,,83.23057,,,,160.1371,102.4235,122.9595,
16,1971-05,,84.86201,99.88435,2055.141,131.5365,60.67421,,512.0925,,,,110.621,84.60566,109.5648,74.93737,,115.3676,114.1792,,111.446,,270.0689,205.4374,92.37897,116.2764,,115.6937,70.24393,164.9081,103.6287,,117.5111,95.70453,99.23467,92.45045,,82.60471,,,,157.7587,102.001,122.7737,
17,1971-06,,84.92384,99.02938,2021.151,129.7156,60.63602,,508.8296,,,,111.9596,84.13996,109.9752,74.72118,,116.636,113.7802,,108.936,,265.3966,207.5649,92.30514,115.2356,,114.4765,70.05264,163.9381,102.955,,117.2689,95.44003,102.7812,92.09489,,82.49446,,,,156.6392,103.0357,123.6206,
18,1971-07,,84.80735,99.02631,2001.449,130.5392,60.44936,,506.6165,,,,112.7953,83.60686,110.5191,74.25446,,116.4281,113.7579,,106.6163,,264.0065,209.7317,92.3438,114.4307,,114.2214,69.80392,146.677,102.3549,,116.7247,94.94933,102.7734,92.87103,,82.52174,,,,156.3515,107.9798,123.1732,
19,1971-08,,84.08749,99.15573,1945.29,132.2836,60.8218,,500.6976,,,,113.8093,83.43465,111.2773,73.85538,,115.8939,112.6047,,103.8482,,248.0615,212.1645,92.77209,112.7051,,113.8652,69.61987,147.1472,102.3051,,117.1305,96.34177,102.6474,92.80917,,82.55666,,,,157.7906,109.539,122.0382,
20,1971-09,,84.19286,101.0452,1891.29,130.9864,61.07477,,484.3227,,,,114.0044,84.0634,111.7248,74.05992,,115.3671,110.9031,,103.1732,,230.014,211.2853,93.25087,111.3242,,113.9216,72.86012,144.8799,103.6592,,116.7451,97.46704,103.188,92.85061,,85.43566,,,,156.8757,109.2087,120.11,
21,1971-10,,84.03204,102.1522,1860.329,131.9284,60.65049,,470.6249,,,,114.189,83.8226,111.7304,74.21841,,113.6662,109.7193,,101.4177,,228.2604,208.4769,93.4005,110.6707,,113.2729,75.22939,139.9133,104.9723,,116.0122,98.40554,103.3897,93.8633,,86.4581,,,,157.8667,109.9324,117.9956,
22,1971-11,,83.78845,103.1813,1827.058,131.8056,61.16017,,468.1033,,,,113.5613,84.13377,111.7182,75.32693,,113.5023,109.7221,,102.5728,,234.2255,209.0246,93.59389,110.7486,,113.2898,75.46596,139.7608,105.9463,,116.0052,98.95359,103.3284,93.75701,,88.31752,,,,157.7766,110.6171,117.7682,
23,1971-12,,83.74664,103.2867,1777.854,131.9142,61.34722,,456.8745,,,,113.7473,83.80956,112.472,76.3069,,111.6423,110.7282,,101.8777,,228.3966,206.3313,93.83479,109.1403,,113.5908,76.4755,138.1871,106.0006,,115.1796,98.93452,102.7404,94.64114,,85.64805,,,,159.6748,113.7172,116.1301,
24,1972-01,110.774,83.68417,103.5335,1747.021,130.7147,60.47749,,479.0883,,,,113.6932,83.40228,114.1467,76.3452,,109.0808,113.2453,99.92184,99.36674,,225.84,202.0265,94.17825,105.5637,,113.1104,78.56172,133.5185,106.3043,,114.5843,99.36616,102.6561,94.18519,,84.16284,,,,160.241,111.2651,113.8663,
25,1972-02,109.6227,83.81094,103.7827,1686.845,130.5639,60.39749,,481.4009,,,,114.1749,79.34703,115.1028,75.22824,,108.7581,114.0888,100.5819,96.54716,,228.3036,201.187,94.61829,105.4841,,112.7059,78.25256,136.6956,106.337,,114.0368,99.80489,102.976,93.27256,,84.9558,,,,160.0887,111.1874,113.2725,
26,1972-03,108.9004,83.82607,102.6704,1664.735,131.5675,60.03015,,468.8687,,,,114.5568,83.28957,115.4719,76.24699,,108.3059,114.8166,100.7198,97.06036,,227.089,202.0475,94.82092,107.7188,,112.7512,78.54831,139.4945,105.5414,,114.0204,99.63052,103.1127,92.73961,,85.53268,,,,159.5179,110.2827,112.522,
27,1972-04,109.3931,83.48191,102.2839,1649.632,132.0436,59.84174,,464.8172,,,,114.405,83.23406,115.3221,76.60905,,109.6622,115.0443,100.9429,99.58144,,226.0348,201.4144,94.48656,110.5908,,112.5116,79.36863,134.0234,105.1353,,114.3778,99.95841,103.2519,93.34267,,84.90653,,,,158.9588,110.3176,112.2296,
