,TIME_PERIOD,AUT,BEL,BGR,BRA,CAN,CHL,CHN,CRI,CZE,DEU,EA20,ESP,EU27_2020,FIN,FRA,GBR,HRV,HUN,ITA,KOR,LUX,MEX,NLD,POL,PRT,ROU,SVK,SVN,SWE,USA,ZAF
0,1955-01,,,,,,,,,,,,,,,50.79814,,,,,,,,,,,,,,,,
1,1955-02,,,,,,,,,,,,,,,50.88887,,,,,,,,,,,,,,,,
2,1955-03,,,,,,,,,,,,,,,50.79755,,,,,,,,,,,,,,,,
3,1955-04,,,,,,,,,,,,,,,52.90739,,,,,,,,,,,,,,,,
4,1955-05,,,,,,,,,,,,,,,54.6185,,,,,,,,,,,,,,,,
5,1955-06,,,,,,,,,,,,,,,54.50354,,,,,,,,,,,,,,,,
6,1955-07,,,,,,,,,,,,,,,55.62683,,,,,,,,,,,,,,,,
7,1955-08,,,,,,,,,,,,,,,56.9831,,,,,,,,,,,,,,,,
8,1955-09,,,,,,,,,,,,,,,55.94943,,,,,,,,,,,,,,,,
9,1955-10,,,,,,,,,,,,,,,56.24022,,,,,,,,,,,,,,,,
10,1955-11,,,,,,,,,,,,,,,57.51797,,,,,,,,,,,,,,,,
11,1955-12,,,,,,,,,,,,,,,56.60759,,,,,,,,,,,,,,,,
12,1956-01,,,,,,,,,,,,,,,58.42549,,,,,,140.5676,,,,,,,,,,
13,1956-02,,,,,,,,,,,,,,,33.86441,,,,,,119.5387,,,,,,,,,,
14,1956-03,,,,,,,,,,,,,,,57.5777,,,,,,111.8514,,,,,,,,,,
15,1956-04,,,,,,,,,,,,,,,57.96237,,,,,,117.1035,,,,,,,,,,
16,1956-05,,,,,,,,,,,,,,,56.93153,,,,,,151.2808,,,,,,,,,,
17,1956-06,,,,,,,,,,,,,,,57.27834,,,,,,156.2446,,,,,,,,,,
18,1956-07,,,,,,,,,,,,,,,57.11963,,,,,,140.968,,,,,,,,,,
19,1956-08,,,,,,,,,,,,,,,58.0741,,,,,,150.8743,,,,,,,,,,
20,1956-09,,,,,,,,,,,,,,,57.88789,,,,,,143.4832,,,,,,,,,,
21,1956-10,,,,,,,,,,,,,,,58.60329,,,,,,144.6201,,,,,,,,,,
22,1956-11,,,,,,,,,,,,,,,57.90073,,,,,,143.3028,,,,,,,,,,
23,1956-12,,,,,,,,,,,,,,,60.25768,,,,,,141.2181,,,,,,,,,,
24,1957-01,,,,,,,,,,,,,,,60.37201,,,,,,143.2052,,,,,,,,,,
25,1957-02,,,,,,,,,,,,,,,62.72676,,,,,,145.1244,,,,,,,,,,
26,1957-03,,,,,,,,,,,,,,,62.41208,,,,,,142.6152,,,,,,,,,,
