,TIME_PERIOD,AUT,BEL,BGR,CHE,CZE,DEU,DNK,EA20,ESP,EST,EU27_2020,FIN,FRA,GBR,GRC,HRV,HUN,IRL,ISL,ITA,LTU,LUX,LVA,NLD,NOR,POL,PRT,SVK,SVN,SWE,TUR,USA
0,1991-01,,,,,,,,0.5938242,,,,,,,,,,,,,,,,,,,,,,,,
1,1991-02,,,,,,,,0.5903188,,,,,,,,,,,,,,,,,,,,,,,,
2,1991-03,,,,,,,,0.1173709,,,,,,,,,,,,,,,,,,,,,,,,
3,1991-04,,,,,,,,0.3516999,,,,,,,,,,,,,,,,,,,,,,,,
4,1991-05,,,,,,,,0.3504673,,,,,,,,,,,,,,,,,,,,,,,,
5,1991-06,,,,,,,,0.3492433,,,,,,,,,,,,,,,,,,,,,,,,
6,1991-07,,,,,,,,0.8120649,,,,,,,,,,,,,,,,,,,,,,,,
7,1991-08,,,,,,,,0.1150748,,,,,,,,,,,,,,,,,,,,,,,,
8,1991-09,,,,,,,,0.1149425,,,,,,,,,,,,,,,,,,,,,,,,
9,1991-10,,,,,,,,0.3444317,,,,,,,,,,,,,,,,,,,,,,,,
10,1991-11,,,,,,,,0.4576659,,,,,,,,,,,,,,,,,,,,,,,,
11,1991-12,,,,,,,,0.1138952,,,,,,,,,,,,,,,,,,,,,,,,
12,1992-01,,,,,,,,0.3412969,,,,,,,,,,,,,,,,,,,,,,,,
13,1992-02,,,,,,,,0.5668934,,,,,,,,,,,,,,,,,,,,,,,,
14,1992-03,,,,,,,,0.3382187,,,,,,,,,,,,,,,,,,,,,,,,
15,1992-04,,,,,,,,0.3370787,,,,,,,,,,,,,,,,,,,,,,,,
16,1992-05,,,,,,,,0.3359463,,,,,,,,,,,,,,,,,,,,,,,,
17,1992-06,,,,,,,,0.1116071,,,,,,,,,,,,,,,,,,,,,,,,
18,1992-07,,,,,,,,0.1114827,,,,,,,,,,,,,,,,,,,,,,,,
19,1992-08,,,,,,,,0.2227172,,,,,,,,,,,,,,,,,,,,,,,,
20,1992-09,,,,,,,,0.1111111,,,,,,,,,,,,,,,,,,,,,,,,
21,1992-10,,,,,,,,0.2219756,,,,,,,,,,,,,,,,,,,,,,,,
22,1992-11,,,,,,,,0.3322259,,,,,,,,,,,,,,,,,,,,,,,,
23,1992-12,,,,,,,,0.2207506,,,,,,,,,,,,,,,,,,,,,,,,
24,1993-01,,,,,,,,0.4405286,,,,,,,,,,,,,,,,,,,,,,,,
25,1993-02,,,,,,,,0.5482456,,,,,,,,,,,,,,,,,,,,,,,,
26,1993-03,,,,,,,,0.436205,,,,,,,,,,,,,,,,,,,,,,,,
27,1993-04,,,,,,,,0.2171553,,,,,,,,,,,,,,,,,,,,,,,,
28,1993-05,,,,,,,,0.2166847,,,,,,,,,,,,,,,,,,,,,,,,
29,1993-06,,,,,,,,0.2162162,,,,,,,,,,,,,,,,,,,,,,,,
30,1993-07,,,,,,,,0.3236246,,,,,,,,,,,,,,,,,,,,,,,,
31,1993-08,,,,,,,,0.1075269,,,,,,,,,,,,,,,,,,,,,,,,
32,1993-09,,,,,,,,0.1074114,,,,,,,,,,,,,,,,,,,,,,,,
33,1993-10,,,,,,,,0.2145923,,,,,,,,,,,,,,,,,,,,,,,,
34,1993-11,,,,,,,,0.2141328,,,,,,,,,,,,,,,,,,,,,,,,
35,1993-12,,,,,,,,0.1068376,,,,,,,,,,,,,,,,,,,,,,,,
36,1994-01,,,,,,,,0.4268943,,,,,,,,,,,,,,,,,,,,,,,,
37,1994-02,,,,,,,,0.4250797,,,,,,,,,,,,,,,,,,,,,,,,
38,1994-03,,,,,,,,0.3174603,,,,,,,,,,,,,,,,,,,,,,,,
39,1994-04,,,,,,,,0.1054852,,,,,,,,,,,,,,,,,,,,,,,,
40,1994-05,,,,,,,,0.3161222,,,,,,,,,,,,,,,,,,,,,,,,
