,TIME_PERIOD,AUT,BEL,BGR,CHE,CZE,DEU,DNK,EA20,ESP,EST,EU27_2020,FIN,FRA,GBR,GRC,HRV,HUN,IRL,ISL,ITA,LTU,LUX,LVA,NLD,NOR,POL,PRT,SVK,SVN,SWE,TUR,USA
0,1996-02,-0.1,0.0,,,0.4,0.2,0.3,0.2993639,0.6,0.6,,0.3,0.3,1.2,-0.7,,1.8,2.0,0.6,0.7,0.7,0.3,1.5,0.1,0.6,1.1,0.8,0.4,0.8,0.3,2.1,
1,1996-03,0.4,0.0,,,0.4,0.0,0.3,0.2984703,0.8,0.8,,-0.1,0.5,1.5,4.5,,1.7,1.3,-0.4,0.1,1.7,0.0,1.4,0.0,0.2,1.1,0.2,0.4,0.3,0.5,4.6,
2,1996-04,-0.3,0.1,,,0.4,0.1,0.4,0.1239926,0.6,0.5,,-0.1,0.1,-0.5,0.3,,1.3,-1.5,0.3,0.0,1.1,0.0,1.0,0.1,0.0,1.0,0.3,0.3,0.0,0.4,2.9,
3,1996-05,-0.1,0.1,,,0.1,0.0,0.3,0.1733746,0.3,0.4,,0.3,0.0,0.6,0.3,,1.1,0.3,0.5,0.7,0.9,0.0,0.6,0.1,0.0,1.0,0.2,0.4,0.3,0.0,4.7,
4,1996-06,-0.1,0.1,,,0.2,0.0,0.0,0.06181234,0.1,1.0,,-0.1,0.1,0.1,0.8,,0.9,0.1,-0.1,0.0,0.8,0.2,1.1,-0.2,0.1,0.7,0.3,0.8,0.5,-0.3,2.7,
5,1996-07,-0.1,0.1,,,0.3,0.0,-0.1,-0.06177415,0.1,0.7,,0.0,0.1,-1.7,-4.1,,1.2,-0.9,0.1,0.0,1.1,0.0,1.9,-0.1,-0.1,0.9,0.2,0.4,0.2,0.1,5.7,
6,1996-08,-0.1,0.0,,,0.2,0.0,-0.1,0.07417481,0.0,1.5,,-0.1,0.0,1.0,0.1,,1.2,1.2,-0.2,0.4,0.6,0.1,0.9,-0.1,0.2,1.0,0.2,0.2,0.2,0.1,1.7,
7,1996-09,0.0,0.0,,,0.2,0.0,0.5,0.1852996,0.2,0.6,,0.0,0.0,0.7,5.5,,1.1,1.4,0.2,0.0,0.6,-0.1,1.2,0.1,0.1,1.0,0.2,0.3,0.5,-0.1,6.6,
8,1996-10,0.0,0.1,,,0.2,0.0,0.0,0.07398274,0.2,0.6,,0.3,0.0,-0.4,1.3,,1.3,-1.3,0.4,0.1,0.3,0.0,1.1,0.1,0.1,1.0,0.0,0.3,0.4,0.0,5.0,
9,1996-11,0.1,0.1,,,0.3,0.1,0.0,0.1724988,0.0,1.0,,0.1,-0.3,1.0,0.7,,1.1,0.3,0.4,0.8,0.5,0.0,0.6,0.1,0.0,1.0,0.1,0.3,0.3,-0.2,2.6,
10,1996-12,-0.1,0.1,,,0.2,0.0,0.0,0.03690037,0.1,0.1,,0.0,0.0,1.0,0.8,,1.0,1.2,-0.2,0.0,0.3,0.1,1.1,0.0,0.1,0.8,0.0,0.1,0.3,-0.4,4.6,
11,1997-01,0.1,0.1,,,0.1,0.0,0.0,-0.1106603,0.2,1.4,,-0.1,-0.2,-3.7,-2.8,,1.1,-2.7,0.2,0.0,0.3,-0.1,2.6,-0.4,-0.8,1.3,0.2,0.3,0.7,-0.5,7.5,
12,1997-02,0.0,0.0,,,0.9,0.1,0.3,0.2215657,0.2,0.8,,-0.1,0.4,0.6,0.3,,1.2,1.4,-0.1,0.3,0.3,0.1,0.8,0.1,1.1,0.8,0.8,0.5,0.2,0.2,2.2,
13,1997-03,0.3,0.1,,,0.5,0.0,0.3,0.2333579,0.2,0.6,,0.1,0.6,2.2,3.6,,1.0,0.2,0.7,0.1,-0.1,0.1,0.3,0.0,0.2,0.8,0.1,0.7,0.3,0.1,5.0,
14,1997-04,-0.1,0.0,,,0.4,0.1,0.1,0.061267,0.2,0.6,,0.2,0.1,-0.7,-0.1,,1.1,0.0,0.3,0.0,0.3,0.2,0.3,-0.1,-0.1,0.9,0.1,0.3,0.4,0.2,3.3,
