,TIME_PERIOD,AUT,BEL,BGR,CHE,CZE,DEU,DNK,EA20,ESP,EST,EU27_2020,FIN,FRA,GBR,GRC,HRV,HUN,IRL,ISL,ITA,LTU,LUX,LVA,NLD,NOR,POL,PRT,SVK,SVN,SWE,TUR,USA
0,1996-02,0.2,0.2,,,0.4,0.5,0.5,0.3148302,0.2,3.7,,0.6,0.3,0.1,0.3,,3.4,0.2,0.2,0.4,1.9,0.2,0.7,0.0,0.0,1.4,-0.6,0.8,2.0,0.1,8.5,
1,1996-03,0.2,0.4,,,0.4,0.2,0.0,0.1816981,0.6,1.1,,-0.1,0.3,0.1,0.7,,2.8,0.4,0.0,0.0,0.7,0.8,0.4,0.0,0.7,1.4,0.1,0.2,0.9,0.1,5.6,
2,1996-04,0.2,0.5,,,0.4,0.2,0.2,0.2967848,0.5,1.6,,0.1,0.2,1.7,0.8,,3.0,0.6,1.4,0.9,1.5,0.7,0.1,0.0,0.4,2.0,-0.1,-0.1,1.7,0.4,5.3,
3,1996-05,0.0,-0.6,,,0.0,-0.1,0.3,0.04931777,0.2,0.1,,0.5,-0.1,0.0,5.2,,5.1,0.2,0.6,0.0,0.2,0.1,0.3,0.0,0.0,0.7,0.1,-0.1,0.7,0.0,4.0,
4,1996-06,1.6,-0.1,,,0.0,0.0,-0.2,0.04929346,0.1,1.7,,0.2,0.0,0.2,0.1,,0.4,0.4,0.1,0.0,1.1,-0.3,0.3,0.0,0.0,0.3,0.3,0.3,0.7,0.0,5.8,
5,1996-07,0.5,0.3,,,6.5,0.3,0.2,0.2299228,0.2,1.1,,0.2,0.1,0.3,0.5,,0.5,0.0,0.1,-1.4,0.8,0.2,2.6,2.9,1.6,1.0,0.2,0.4,0.7,0.0,4.6,
6,1996-08,0.4,0.1,,,4.2,0.1,0.2,0.1638538,0.2,0.5,,-0.1,0.1,0.0,0.3,,0.9,0.0,0.6,0.4,2.3,0.2,0.7,0.0,0.0,1.0,0.2,1.5,1.0,0.0,7.0,
7,1996-09,0.6,1.0,,,0.4,0.7,0.5,0.6052675,0.4,0.6,,0.7,0.6,0.1,1.4,,0.8,0.2,0.0,0.4,0.5,0.4,0.1,0.1,1.4,1.0,0.1,0.5,0.4,1.2,4.9,
8,1996-10,0.7,0.9,,,0.4,0.6,0.3,0.5528455,0.6,0.0,,0.6,0.5,0.1,-1.0,,0.8,0.2,0.0,1.1,0.3,1.1,3.7,0.0,1.0,2.2,0.5,0.5,0.3,0.3,4.7,
9,1996-11,0.4,-0.6,,,0.0,-0.1,0.3,0.03234152,0.4,0.1,,-0.3,0.1,-0.1,-4.3,,0.5,0.6,0.1,0.9,5.9,1.1,0.6,0.0,0.0,0.6,0.6,0.5,0.8,-0.1,6.0,
10,1996-12,0.1,0.3,,,0.0,0.3,0.2,0.210152,0.3,0.0,,0.1,0.2,0.0,1.6,,1.1,0.0,0.0,0.2,0.4,-0.4,0.3,0.0,0.5,0.3,-0.3,0.1,1.5,0.0,5.6,
11,1997-01,0.2,0.8,,,1.5,1.0,1.2,0.8872399,0.1,1.1,,0.7,0.4,0.3,0.7,,2.5,-0.4,0.8,1.0,1.0,0.2,1.4,1.9,2.2,8.3,1.5,0.4,1.4,2.0,5.3,
12,1997-02,0.2,-0.7,,,0.4,0.1,0.0,0.06395907,0.2,0.5,,0.0,0.0,0.1,-0.3,,5.1,0.2,0.0,0.2,1.0,0.9,1.6,0.0,0.0,1.4,0.7,0.5,2.5,-0.1,5.1,
13,1997-03,-0.2,-0.6,,,0.0,-0.3,-0.2,-0.1438159,0.0,0.6,,-0.2,-0.1,0.1,0.0,,6.6,-0.8,0.0,0.3,0.1,-1.2,0.2,0.1,-0.5,0.6,0.6,0.5,0.4,0.0,3.0,
14,1997-04,0.1,0.0,,,0.4,0.0,-0.3,0.08001281,0.3,2.9,,0.4,-0.3,1.2,0.5,,1.0,-0.4,0.2,0.5,0.3,0.1,0.1,0.0,-2.2,0.8,0.4,0.3,1.3,0.6,3.5,
15,1997-05,-0.1,0.2,,,0.0,0.3,1.0,0.1758874,0.2,4.3,,0.5,-0.2,0.0,0.4,,0.8,0.4,0.5,0.0,0.6,0.2,2.0,0.2,-0.3,0.6,0.1,0.3,2.8,-0.2,4.0,
16,1997-06,0.1,0.0,,,0.4,0.0,-0.2,0.01596169,0.4,1.4,,0.0,0.0,0.0,0.4,,0.9,0.2,0.1,0.0,0.6,0.2,0.4,0.0,0.5,0.3,0.0,0.1,0.1,0.0,4.3,
17,1997-07,0.1,0.0,,,20.2,0.3,0.0,0.335142,0.2,0.3,,0.1,0.1,-0.1,0.1,,0.6,-0.4,1.6,0.2,8.8,0.1,2.4,2.7,-1.9,1.4,0.0,0.1,0.9,0.7,7.8,
18,1997-08,0.3,0.6,,,0.3,0.1,0.5,0.2544934,0.6,1.2,,0.3,0.3,0.1,0.8,,0.6,-3.0,0.3,0.2,3.3,0.4,5.2,0.0,0.3,0.5,0.0,4.5,0.7,0.0,5.3,
19,1997-09,0.1,-0.3,,,0.0,-0.1,-0.2,-0.01586546,0.2,0.1,,0.1,0.1,-0.8,0.2,,2.1,0.4,-0.2,-0.2,0.4,0.5,1.4,0.1,0.5,0.5,0.1,0.3,0.3,0.0,6.4,
20,1997-10,0.4,0.5,,,0.0,0.4,0.2,0.4125674,0.7,0.5,,0.3,0.3,0.2,0.5,,1.3,0.0,0.3,0.8,0.1,0.0,0.2,0.0,0.5,0.8,0.2,0.4,0.2,-0.1,6.0,
21,1997-11,0.3,0.1,,,0.3,0.0,0.5,0.1580278,0.3,1.1,,-0.1,0.4,0.0,0.0,,1.3,0.8,-0.1,0.3,4.1,0.4,0.0,0.0,-0.2,0.5,0.0,0.4,0.2,0.0,6.9,
22,1997-12,0.1,-0.2,,,0.0,-0.1,-0.2,-0.0315557,0.1,0.0,,-0.2,0.1,-0.1,0.0,,1.9,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.3,0.5,0.0,0.1,0.1,0.0,4.6,
23,1998-01,0.0,-0.3,0.7,,12.0,0.0,1.5,0.04734848,-0.7,3.2,,0.0,-0.1,-0.1,-0.1,,2.4,0.2,0.9,0.5,0.2,-0.5,1.3,0.6,0.8,9.2,0.5,0.4,2.8,0.9,7.3,
24,1998-02,-0.3,0.1,2.0,,0.5,0.1,0.2,0.06310143,-0.3,1.4,,0.6,0.1,0.1,0.3,1.2,2.1,0.0,-0.1,0.2,0.2,-0.6,0.2,0.0,0.0,1.4,0.9,0.2,0.5,-0.1,4.1,
25,1998-03,-0.1,-0.3,1.0,,0.3,-0.1,-0.7,-0.01576541,0.2,0.7,,-0.2,0.0,0.2,0.5,1.7,2.5,0.0,0.1,0.0,1.5,-0.1,0.1,0.1,0.5,0.5,0.1,0.1,-0.6,-0.1,3.9,
