,index,TIME_PERIOD,OECD_MATERIAL_RESOURCES_DMC_AUT,OECD_MATERIAL_RESOURCES_DMC_CHN,OECD_MATERIAL_RESOURCES_DMC_DEU,OECD_MATERIAL_RESOURCES_DMC_DNK,OECD_MATERIAL_RESOURCES_DMC_EA19,OECD_MATERIAL_RESOURCES_DMC_EU27_2020,OECD_MATERIAL_RESOURCES_DMC_OECDA,OECD_MATERIAL_RESOURCES_DMC_OECDSO,OECD_MATERIAL_RESOURCES_DMC_POL,OECD_MATERIAL_RESOURCES_DMC_SWE,OECD_MATERIAL_RESOURCES_DMC_USA,OECD_MATERIAL_RESOURCES_MF_CHN,OECD_MATERIAL_RESOURCES_MF_OECDA,OECD_MATERIAL_RESOURCES_MF_OECDSO,OECD_MATERIAL_RESOURCES_MF_USA,OECD_MEI_BTS_COS_SP_AUT,OECD_MEI_BTS_COS_SP_CHE,OECD_MEI_BTS_COS_SP_DEU,OECD_MEI_BTS_COS_SP_DNK,OECD_MEI_BTS_COS_SP_EA19,OECD_MEI_BTS_COS_SP_POL,OECD_MEI_BTS_COS_SP_SWE,OECD_MEI_CLI_CBC_AUT,OECD_MEI_CLI_CBC_CHE,OECD_MEI_CLI_CBC_CHN,OECD_MEI_CLI_CBC_DEU,OECD_MEI_CLI_CBC_DNK,OECD_MEI_CLI_CBC_EA19,OECD_MEI_CLI_CBC_EU27_2020,OECD_MEI_CLI_CBC_OECD,OECD_MEI_CLI_CBC_OECDE,OECD_MEI_CLI_CBC_POL,OECD_MEI_CLI_CBC_SWE,OECD_MEI_CLI_CBC_USA,OECD_MEI_CLI_CCP_AUT,OECD_MEI_CLI_CCP_CHE,OECD_MEI_CLI_CCP_CHN,OECD_MEI_CLI_CCP_DEU,OECD_MEI_CLI_CCP_DNK,OECD_MEI_CLI_CCP_EA19,OECD_MEI_CLI_CCP_EU27_2020,OECD_MEI_CLI_CCP_OECD,OECD_MEI_CLI_CCP_OECDE,OECD_MEI_CLI_CCP_POL,OECD_MEI_CLI_CCP_SWE,OECD_MEI_CLI_CCP_USA,OECD_MEI_CLI_CLI_CHN,OECD_MEI_CLI_CLI_DEU,OECD_MEI_CLI_CLI_USA,OECD_MEI_FIN_IRII_AUT,OECD_MEI_FIN_IRII_CHE,OECD_MEI_FIN_IRII_CHN,OECD_MEI_FIN_IRII_DEU,OECD_MEI_FIN_IRII_DNK,OECD_MEI_FIN_IRII_EA19,OECD_MEI_FIN_IRII_POL,OECD_MEI_FIN_IRII_USA,OECD_MEI_FIN_IRLT_AUT,OECD_MEI_FIN_IRLT_CHE,OECD_MEI_FIN_IRLT_DEU,OECD_MEI_FIN_IRLT_DNK,OECD_MEI_FIN_IRLT_EA19,OECD_MEI_FIN_IRLT_POL,OECD_MEI_FIN_IRLT_SWE,OECD_MEI_FIN_IRLT_USA,OECD_MEI_FIN_IRN_CHE,OECD_MEI_FIN_IRN_CHN,OECD_MEI_FIN_IRN_DNK,OECD_MEI_FIN_IRN_EA19,OECD_MEI_FIN_IRN_POL,OECD_MEI_FIN_IRN_SWE,OECD_MEI_FIN_IRRE_AUT,OECD_MEI_FIN_IRRE_CHE,OECD_MEI_FIN_IRRE_CHN,OECD_MEI_FIN_IRRE_DEU,OECD_MEI_FIN_IRRE_DNK,OECD_MEI_FIN_IRRE_EA19,OECD_MEI_FIN_IRRE_POL,OECD_MEI_FIN_IRRE_SWE,OECD_MEI_FIN_IRRE_USA,OECD_MEI_FIN_IRST_AUT,OECD_MEI_FIN_IRST_CHE,OECD_MEI_FIN_IRST_CHN,OECD_MEI_FIN_IRST_DEU,OECD_MEI_FIN_IRST_DNK,OECD_MEI_FIN_IRST_EA19,OECD_MEI_FIN_IRST_POL,OECD_MEI_FIN_IRST_SWE,OECD_MEI_FIN_IRST_USA,OECD_MEI_REAL_PRC_AUT,OECD_MEI_REAL_PRC_CHN,OECD_MEI_REAL_PRC_DEU,OECD_MEI_REAL_PRC_EU27_2020,OECD_MEI_REAL_PRC_POL,OECD_MEI_REAL_PRC_SWE,OECD_MEI_REAL_PRC_USA,OECD_MEI_REAL_PRI_AUT,OECD_MEI_REAL_PRI_CHE,OECD_MEI_REAL_PRI_DEU,OECD_MEI_REAL_PRI_DNK,OECD_MEI_REAL_PRI_EU27_2020,OECD_MEI_REAL_PRI_OECD,OECD_MEI_REAL_PRI_OECDE,OECD_MEI_REAL_PRI_POL,OECD_MEI_REAL_PRI_SWE,OECD_MEI_REAL_PRI_USA,OECD_MEI_REAL_PRM_AUT,OECD_MEI_REAL_PRM_CHE,OECD_MEI_REAL_PRM_DEU,OECD_MEI_REAL_PRM_DNK,OECD_MEI_REAL_PRM_EU27_2020,OECD_MEI_REAL_PRM_POL,OECD_MEI_REAL_PRM_SWE,OECD_MEI_REAL_PRM_USA,OECD_PRICES_CPI_CPI_AUT,OECD_PRICES_CPI_CPI_CHE,OECD_PRICES_CPI_CPI_DEU,OECD_PRICES_CPI_CPI_DNK,OECD_PRICES_CPI_CPI_EU27_2020,OECD_PRICES_CPI_CPI_POL,OECD_PRICES_CPI_CPI_SWE,OECD_PRICES_CPI_CPI_USA,OECD_PRICES_CPI_FHE_AUT,OECD_PRICES_CPI_FHE_CHE,OECD_PRICES_CPI_FHE_DEU,OECD_PRICES_CPI_FHE_DNK,OECD_PRICES_CPI_FHE_EU27_2020,OECD_PRICES_CPI_FHE_POL,OECD_PRICES_CPI_FHE_SWE,OECD_PRICES_CPI_FHE_USA,OECD_PRICES_CPI_HWE_AUT,OECD_PRICES_CPI_HWE_CHE,OECD_PRICES_CPI_HWE_DEU,OECD_PRICES_CPI_HWE_DNK,OECD_PRICES_CPI_HWE_EU27_2020,OECD_PRICES_CPI_HWE_POL,OECD_PRICES_CPI_HWE_SWE,OECD_PRICES_CPI_HWE_USA,OECD_QNA_GDP_AUT,OECD_QNA_GDP_CHE,OECD_QNA_GDP_CHN,OECD_QNA_GDP_DNK,OECD_QNA_GDP_EU27_2020,OECD_QNA_GDP_OECD,OECD_QNA_GDP_OECDE,OECD_QNA_GDP_POL,OECD_QNA_GDP_SWE,OECD_QNA_GDP_USA,OECD_STLABOUR_MUE_AUT,OECD_STLABOUR_MUE_DEU,OECD_STLABOUR_MUE_DNK,OECD_STLABOUR_MUE_EU27_2020,OECD_STLABOUR_MUE_POL,OECD_STLABOUR_MUE_SWE,OECD_STLABOUR_MUE_USA
0,126,2010-08-01,16.40626,300.3189,43.36667,6.28168,194.272415161133,292.590209960938,291.580474853516,58.1653366088867,20.38169,51.58453,186.7505,24382.27,12283.6865234375,4690.9677734375,9010.612,-10.0,-17.32593,-10.9,-20.6,-15.7,-3.7,24.7,100.214,101.5983,100.5009,101.5176,100.753,100.5618,100.6289,100.5595,100.4268,100.2074,101.3671,100.4447,100.6217,102.0972,99.24844,101.1646,101.1437,99.23967,99.06804,99.22376,99.62352,99.95744,102.1096,98.0138,100.146,102.2668,99.53104,0.4256,0.08,2.79,0.4256,0.4836,0.4256,3.75,0.19,2.7731,1.192,2.35,2.446,3.437019,5.62,2.45,2.7,1.039045,6.790123,5.775591,0.7754091,3.087682,7.303454,97.75928,89.63802,77.54936,102.724,102.8892,105.3303,104.1116,103.9375,90.88454,0.8955,0.2065693,2.44,0.8955,1.144545,0.8955,3.81,0.45,0.32,97.05322,81.52701,96.65356,106.287,99.63601,87.34502,73.78347,93.46165,,92.3969,92.10426,96.15795,93.84591,93.97415,83.56508,103.3416,91.80209,91.6618,,93.8,87.02383,93.97134,80.5491,105.253,94.28966,0.3,0.0,0.1,0.4,0.1,-0.4,-0.1,0.2,0.1,0.4,0.1,1.1,0.2,-0.1,0.5,-0.2,0.3,-0.3,0.1,0.1,0.2,0.2,-0.2,0.0,1.070541074,0.47674554,,1.375300953,0.48707,0.840920034,0.646804,1.175248126,1.64698955,0.771084936,5.1,6.4,7.6,10.0,9.8,8.6,9.5
1,127,2010-09-01,16.40626,300.3189,43.36667,6.28168,194.272415161133,292.590209960938,291.580474853516,58.1653366088867,20.38169,51.58453,186.7505,24382.27,12283.6865234375,4690.9677734375,9010.612,-10.6,-15.33327,-11.7,-18.7,-17.4,-3.7,40.5,100.3109,101.6731,101.4364,101.6519,100.5269,100.7515,100.8171,100.6544,100.5586,100.3139,101.4936,100.5587,100.8502,102.0,98.79816,101.5447,101.1525,99.49236,99.34621,99.2506,99.71853,99.69344,102.1534,97.96327,100.1163,102.4699,99.59862,0.4536,0.08,2.79,0.4536,0.5178,0.4536,3.75,0.19,2.8028,1.372,2.300455,2.395,3.493312,5.49,2.53,2.65,1.001227,6.742023,5.687545,0.7639091,3.014836,7.039273,97.95628,91.82513,77.35868,102.444,102.8516,105.4961,105.7608,107.0849,89.85238,0.8805,0.2138121,2.56,0.8805,1.146023,0.8805,3.84,0.52,0.28,97.18041,82.83266,97.8042,106.8417,100.6985,90.16674,74.4604,93.22353,,93.5567,101.7631,96.47812,94.02026,94.0037,84.79599,104.1436,92.05956,92.2449,,95.2,93.25729,94.83644,82.50349,108.5094,94.35423,0.4,-0.2,-0.2,0.4,0.3,0.5,0.8,0.1,-0.1,0.8,0.1,0.7,0.4,0.0,-0.8,-0.4,0.2,-0.1,0.1,-0.9,0.1,0.2,0.6,-0.3,1.070541074,0.47674554,,1.375300953,0.48707,0.840920034,0.646804,1.175248126,1.64698955,0.771084936,5.1,6.3,7.6,10.0,9.8,8.6,9.5
2,128,2010-10-01,16.40626,300.3189,43.36667,6.28168,194.272415161133,292.590209960938,291.580474853516,58.1653366088867,20.38169,51.58453,186.7505,24382.27,12283.6865234375,4690.9677734375,9010.612,-2.5,-14.75,-9.1,-23.5,-13.2,-4.7,37.5,100.4776,101.8172,102.2108,101.7532,100.0608,100.9302,100.9848,100.7717,100.6515,100.3296,101.272,100.7924,100.845,101.8418,98.39857,101.7773,101.1655,99.5876,99.45899,99.29602,99.72424,99.50363,102.0612,98.06119,100.1797,102.6405,99.72746,0.7013,0.05,2.79,0.7013,0.566,0.7013,3.75,0.19,2.8199,1.458,2.345714,2.456,3.330565,5.53,2.64,2.54,0.9694762,6.673173,5.368857,0.72,2.843381,6.682524,98.42266,91.093,76.37848,103.5703,103.6276,108.6671,107.0821,107.6915,87.25848,0.9976667,0.2479178,2.75,0.9976667,1.19131,0.9976667,3.85,0.81,0.27,97.94361,87.54318,98.14939,107.2855,101.7609,92.8602,74.58622,92.7473,95.57844,95.58634,97.73859,97.11846,94.16925,95.0711,85.20629,104.1436,91.8117,91.89504,94.67162,97.2,88.61275,95.37713,82.78269,108.6257,94.4189,0.4,0.6,0.1,-0.2,0.3,0.4,0.3,0.1,-0.1,-0.1,0.0,-0.7,0.1,0.0,0.2,0.0,0.0,0.5,0.2,0.0,0.3,0.5,0.1,-1.0,0.949347786,0.830140237,,-0.561470399,0.643385,0.563276503,0.726699,0.829609199,1.211393967,0.525110261,5.2,6.3,8.1,10.1,9.8,8.5,9.4
3,129,2010-11-01,16.40626,300.3189,43.36667,6.28168,194.272415161133,292.590209960938,291.580474853516,58.1653366088867,20.38169,51.58453,186.7505,24382.27,12283.6865234375,4690.9677734375,9010.612,-7.5,-13.36993,-11.2,-24.3,-15.6,-3.9,41.0,100.584,101.9366,102.4093,101.835,99.67923,101.0943,101.1563,100.913,100.7717,100.2846,101.0924,101.0406,100.6502,101.67,98.00814,101.9363,101.1649,99.61435,99.48699,99.37855,99.69551,99.39176,101.9793,98.31694,100.2976,102.7669,99.90835,0.5926,0.04,2.79,0.5926,0.6962,0.5926,3.75,0.19,3.0149,1.558,2.532727,2.652,3.720914,5.82,2.86,2.76,0.985,6.65578,5.466546,0.7334545,2.900227,6.827318,98.08569,90.9489,77.63549,103.0321,103.2054,107.3098,106.5536,107.1489,87.14741,1.042045,0.186001,3.38,1.042045,1.238727,1.042045,3.88,1.11,0.27,95.52682,82.09617,97.45901,106.176,101.5248,93.37324,74.40559,94.53319,94.24591,95.00645,98.19854,97.97225,94.596,95.57689,85.47983,107.1224,91.87644,93.52769,94.05205,96.7,89.46832,96.13409,83.20149,109.3235,94.53017,0.0,-0.1,0.1,0.1,0.1,0.1,0.2,0.0,0.0,-0.1,0.1,-0.1,0.0,0.1,0.2,-0.4,0.2,0.6,0.2,-0.1,0.2,0.2,0.6,-0.3,0.949347786,0.830140237,,-0.561470399,0.643385,0.563276503,0.726699,0.829609199,1.211393967,0.525110261,4.7,6.2,7.5,10.0,9.8,8.2,9.8
4,130,2010-12-01,16.40626,300.3189,43.36667,6.28168,194.272415161133,292.590209960938,291.580474853516,58.1653366088867,20.38169,51.58453,186.7505,24382.27,12283.6865234375,4690.9677734375,9010.612,-3.9,-12.54575,-10.5,-27.9,-14.4,-2.7,42.7,100.6725,101.9715,101.9582,101.9069,99.71191,101.2939,101.344,101.0722,100.958,100.2609,100.9925,101.2343,100.4907,101.5154,97.6594,101.9395,101.0465,99.50484,99.35372,99.41419,99.5851,99.36961,101.9426,98.56625,100.4386,102.8356,100.1015,0.4981,0.04,3.25,0.4981,0.7254,0.4981,3.75,0.18,3.4319,1.674,2.914762,3.012,4.069633,5.98,3.21,3.29,0.9673043,6.65361,5.639435,0.7567826,3.020391,6.846826,97.9715,94.26854,78.38949,102.4294,101.6389,105.0806,104.7631,109.711,87.56124,1.021696,0.1913681,4.94,1.021696,1.211667,1.021696,3.95,1.28,0.3,94.63642,90.5549,86.75808,99.74113,99.63601,95.29713,72.6876,94.29507,96.30527,96.84278,98.77348,98.50587,95.27899,95.95184,83.70184,106.0913,92.79155,93.29446,95.2912,98.3,88.8572,96.35036,81.52629,108.742,95.01138,0.7,0.0,1.2,0.1,0.6,0.3,0.6,0.2,0.0,-0.1,0.0,-0.7,0.0,0.0,0.0,-0.2,0.2,0.1,0.4,0.3,0.5,0.2,2.2,0.5,0.949347786,0.830140237,,-0.561470399,0.643385,0.563276503,0.726699,0.829609199,1.211393967,0.525110261,4.8,6.1,8.2,10.0,9.8,8.2,9.3
5,131,2011-01-01,16.50025,317.4382,43.88765,6.237765,189.136810302734,289.765899658203,296.465576171875,58.3445358276367,22.51681,53.3982,189.2904,26941.14,12315.43359375,4794.89794921875,8960.769,12.1,-14.42,-8.3,-30.1,-11.8,1.6,44.4,100.7854,101.8908,101.3543,101.9635,100.0556,101.4496,101.4811,101.1902,101.0804,100.1434,101.1478,101.3804,100.4382,101.389,97.6042,101.8698,100.905,99.3699,99.17519,99.37498,99.44235,99.30357,101.9568,98.67384,100.5852,102.8369,100.2659,0.659,0.04,3.25,0.659,0.6857,0.659,4.0,0.17,3.5407,1.818,3.016667,3.052,3.939051,6.26,3.28,3.39,0.9563333,6.603384,5.575953,0.7484095,2.90619,6.667524,97.60949,93.88917,78.48273,101.7253,101.3356,104.077,108.3488,110.4496,86.50219,1.017238,0.1508102,4.98,1.017238,1.216071,1.017238,4.09,1.49,0.29,92.47403,85.33345,97.45901,106.5089,93.85145,91.44934,70.55738,95.72379,96.91096,96.16624,98.31353,98.29242,95.6487,96.28325,86.16367,106.3204,92.59058,94.57726,96.53036,98.1,90.69057,96.78291,83.89949,108.9746,95.0537,-0.1,-0.2,-0.5,0.1,-0.5,1.1,-0.9,0.6,0.2,-1.4,-0.1,0.4,-0.4,0.5,-1.4,0.4,0.6,0.8,1.3,1.4,1.3,2.0,0.0,0.5,1.074261975,0.519672908,2.3,0.684030547,0.925417,0.318868881,0.935979,1.797755235,0.79776958,-0.237204897,5.0,6.0,8.0,10.0,9.7,8.2,9.1
6,132,2011-02-01,16.50025,317.4382,43.88765,6.237765,189.136810302734,289.765899658203,296.465576171875,58.3445358276367,22.51681,53.3982,189.2904,26941.14,12315.43359375,4794.89794921875,8960.769,1.4,-12.34515,-3.1,-15.2,-7.5,1.5,47.7,100.8263,101.773,101.0032,102.053,100.3909,101.5276,101.5471,101.2414,101.1271,100.2321,101.2791,101.4344,100.3826,101.3007,97.98135,101.7803,100.8066,99.27426,99.0156,99.26607,99.34392,98.99795,101.8508,98.62502,100.7208,102.7581,100.3659,0.7071,0.04,3.25,0.7071,0.6941,0.7071,4.0,0.16,3.6764,1.897,3.199,3.23,4.478728,6.26,3.41,3.58,0.94945,6.584036,5.4574,0.73225,2.873,6.4299,97.93755,92.97594,79.0423,102.2973,102.1383,104.9584,107.0214,112.451,85.87258,1.08675,0.1395427,4.84,1.08675,1.23975,1.08675,4.15,1.74,0.28,98.07081,86.44826,98.37952,107.3964,96.6847,90.42326,70.28989,96.67625,96.54755,97.13273,97.04868,99.14621,95.4558,96.62229,88.07841,107.8098,92.20947,95.39359,97.27386,99.2,88.61275,97.97243,85.57468,110.7191,95.2004,0.8,0.4,0.6,0.9,0.4,0.2,0.5,0.6,0.6,1.1,0.1,0.6,0.2,0.4,1.2,0.2,0.4,1.0,0.4,1.6,0.4,0.3,-0.1,0.4,1.074261975,0.519672908,2.3,0.684030547,0.925417,0.318868881,0.935979,1.797755235,0.79776958,-0.237204897,5.5,5.9,7.8,9.9,9.7,7.9,9.0
7,133,2011-03-01,16.50025,317.4382,43.88765,6.237765,189.136810302734,289.765899658203,296.465576171875,58.3445358276367,22.51681,53.3982,189.2904,26941.14,12315.43359375,4794.89794921875,8960.769,0.4,-14.60288,-3.7,-11.6,-4.9,2.0,47.4,100.8469,101.7342,100.9667,102.115,100.7834,101.552,101.5556,101.2046,101.1446,100.3043,101.3452,101.3327,100.2727,101.2513,98.73568,101.629,100.7886,99.12077,98.79134,99.03644,99.22319,98.54688,101.6042,98.38283,100.8233,102.5943,100.3655,0.6587,0.04,3.25,0.6587,0.6978,0.6587,4.0,0.14,3.682,1.931,3.211739,3.289,4.490741,6.27,3.35,3.41,0.9187391,6.566244,5.320218,0.7135652,2.863522,6.347,98.72237,94.37132,78.26063,102.9749,102.9412,106.8883,105.4971,111.7529,85.57217,1.175522,0.1551242,4.02,1.175522,1.307391,1.175522,4.2,1.74,0.28,98.83401,93.86102,98.72471,106.3979,104.7122,90.55152,71.11836,96.5572,95.21502,97.51933,99.80836,99.14621,93.95724,96.34251,87.39458,106.3204,93.16513,95.27697,95.91078,99.8,91.17947,97.86429,84.73708,110.3702,95.79199,1.2,0.8,0.6,0.6,1.2,0.8,0.4,1.3,0.1,-0.3,0.2,1.0,0.5,0.4,-0.3,0.1,0.6,0.7,0.6,0.4,0.6,0.2,0.1,0.3,1.074261975,0.519672908,2.3,0.684030547,0.925417,0.318868881,0.935979,1.797755235,0.79776958,-0.237204897,5.0,5.7,7.9,9.9,9.8,8.1,9.0
8,134,2011-04-01,16.50025,317.4382,43.88765,6.237765,189.136810302734,289.765899658203,296.465576171875,58.3445358276367,22.51681,53.3982,189.2904,26941.14,12315.43359375,4794.89794921875,8960.769,9.9,-12.82,-0.5,-13.1,-1.7,1.9,41.3,100.8058,101.6041,100.7154,102.1371,101.2587,101.4896,101.4886,101.061,101.0919,100.3606,101.3128,101.0705,100.1541,101.1852,99.1591,101.4839,100.8358,98.9689,98.60209,98.90222,99.15337,98.33366,101.375,98.32484,100.872,102.3479,100.2615,0.9661,0.04,3.25,0.9661,0.9237,0.9661,4.25,0.1,3.7639,2.083,3.340526,3.416,4.660637,6.14,3.3,3.46,0.8968095,6.529183,5.156619,0.6917143,2.741095,6.195619,99.04108,94.27499,77.31144,103.0431,103.5069,108.2206,107.5199,111.4889,84.44919,1.321211,0.1394541,3.94,1.321211,1.412143,1.321211,4.3,1.8,0.23,98.9612,98.04491,98.83978,106.3979,106.365,93.5015,71.97079,96.79532,95.4573,97.71263,98.19854,98.93276,93.86096,96.04728,88.35195,105.7476,92.85649,95.74344,96.40644,100.3,90.81279,97.97243,85.15588,109.0909,95.26556,0.6,0.0,0.2,0.5,0.5,0.5,0.3,0.8,0.6,0.4,0.2,-0.5,0.2,0.1,0.2,0.1,0.4,0.2,0.3,0.4,0.5,0.3,-0.5,0.1,-0.035144544,0.616678238,2.3,0.949005566,0.126755,0.366100087,0.300007,1.264044627,0.254328273,0.676582293,4.9,5.6,7.3,9.9,9.9,7.8,9.1
9,135,2011-05-01,16.50025,317.4382,43.88765,6.237765,189.136810302734,289.765899658203,296.465576171875,58.3445358276367,22.51681,53.3982,189.2904,26941.14,12315.43359375,4794.89794921875,8960.769,0.2,-13.01,-0.3,-12.9,-4.5,0.3,42.2,100.5319,101.3553,100.192,102.093,101.4284,101.3191,101.3291,100.823,100.9732,100.2829,101.288,100.6491,100.0238,101.0203,99.31565,101.4049,100.8577,98.90961,98.54332,98.89183,99.2032,98.6042,101.167,98.30976,100.8565,102.0292,100.0658,1.0334,0.09,3.25,1.0334,0.9315,1.0334,4.5,0.09,3.528,1.849,3.060909,3.131,4.369147,6.06,3.01,3.17,0.8734091,6.49951,5.206273,0.6984546,2.750591,6.251727,98.81195,97.14162,77.3082,102.3729,103.1576,106.9868,108.3014,111.2937,84.7427,1.425091,0.1194499,4.24,1.425091,1.457386,1.425091,4.45,1.91,0.21,100.3604,96.71179,100.2205,107.7293,111.7954,97.22103,72.11618,96.91438,97.27438,98.67912,101.7631,99.5731,94.77438,96.48164,87.80488,107.1224,92.9707,95.86006,99.62825,101.6,93.37951,98.62125,85.57468,114.6734,95.2508,-0.1,-0.1,-0.1,0.1,0.1,0.5,0.0,0.6,-0.1,-0.2,0.0,0.9,0.2,0.3,0.3,0.2,0.0,-0.6,-0.1,0.0,-0.1,0.2,0.2,0.6,-0.035144544,0.616678238,2.3,0.949005566,0.126755,0.366100087,0.300007,1.264044627,0.254328273,0.676582293,4.9,5.6,7.8,9.9,9.9,8.0,9.0
